"Study","UniProt","Gene.Name","Description","SomaID","SomaScan.SeqID","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Eldjarn et al.","Q6UXB2","CXCL17","C-X-C motif chemokine 17",NA,"SeqId.9495-10","OID20622",0.0580410111597097,1514,0.028850214302656,NA,"No correlation","Spearman","OID20622",0.745054945054945,14,0.00325139561995264,0.00479220059389887,"Strong correlation","Spearman"
"Eldjarn et al.","O14791","APOL1","Apolipoprotein L1",NA,"SeqId.9506-10","OID30708",0.0895845200194297,1514,0.0009176493361082,NA,"No correlation","Spearman","OID30708",0.150329329717164,88,0.161845026061638,0.197325091170183,"No correlation","Spearman"
"Eldjarn et al.","Q13308","PTK7","Inactive tyrosine-protein kinase 7",NA,"SeqId.9525-1","OID20880",0.181908560594884,1514,3.12535078305154e-12,NA,"No correlation","Spearman","OID20880",0.203620865767321,88,0.0572004100908932,0.073636559854753,"No correlation","Spearman"
"Eldjarn et al.","Q9H8J5","MANSC1","MANSC domain-containing protein 1",NA,"SeqId.9557-5","OID21492",0.634517666634644,1514,7.31153926401258e-164,NA,"Moderate correlation","Spearman","OID21492",0.604821950618154,88,3.23814461478065e-11,8.60203592961731e-11,"Moderate correlation","Spearman"
"Eldjarn et al.","P13611","VCAN","Versican core protein",NA,"SeqId.9561-21","OID21026",-0.0420482124075801,1514,0.109861530296102,NA,"No correlation","Spearman","OID21026",0.596439012363073,88,8.93553234033021e-10,2.25183393130196e-09,"Moderate correlation","Spearman"
"Eldjarn et al.","Q8WWV6","FCAMR","High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor",NA,"SeqId.9568-289","OID30332",-0.0619972152700151,1514,0.0219351453418632,NA,"No correlation","Spearman","OID30332",0.81311363442329,52,0,0,"Strong correlation","Spearman"
"Eldjarn et al.","Q6UWL2","SUSD1","Sushi domain-containing protein 1",NA,"SeqId.9582-93","OID20072",-0.104611868235427,1514,6.6947103859634e-05,NA,"No correlation","Spearman","OID20072",-0.197744360902256,56,0.143776725615407,0.177016273958337,"No correlation","Spearman"
"Eldjarn et al.","P15311","EZR","Ezrin",NA,"SeqId.9753-17","OID21017",0.243676572081796,1514,5.282365728671e-21,NA,"No correlation","Spearman","OID21017",0.46484801521609,88,6.52326505888396e-06,1.19557893692857e-05,"Weak correlation","Spearman"
"Eldjarn et al.","P50552","VASP","Vasodilator-stimulated phosphoprotein",NA,"SeqId.9762-14","OID30692",0.434457993288073,1514,5.46126588526596e-64,NA,"Weak correlation","Spearman","OID30692",0.823694128420979,88,0,0,"Strong correlation","Spearman"
"Eldjarn et al.","Q8NFT8","DNER","Delta and Notch-like epidermal growth factor-related receptor",NA,"SeqId.9769-48","OID20712",0.481749021745947,1514,2.78847915583798e-83,NA,"Weak correlation","Spearman","OID20712",0.66859409247469,66,0,0,"Moderate correlation","Spearman"
"Eldjarn et al.","Q8TDY8","IGDCC4","Immunoglobulin superfamily DCC subclass member 4",NA,"SeqId.9793-145","OID30402",0.655071618641174,1514,3.03336613099941e-168,NA,"Moderate correlation","Spearman","OID30402",0.708158871475249,88,1.19821445667546e-14,3.35678442081042e-14,"Strong correlation","Spearman"
"Eldjarn et al.","Q07960","ARHGAP1","Rho GTPase-activating protein 1",NA,"SeqId.9815-5","OID21202",0.472912952208053,1514,1.63700138390998e-81,NA,"Weak correlation","Spearman","OID21202",0.613838892606812,88,0,0,"Moderate correlation","Spearman"
"Eldjarn et al.","P00325","ADH1B","All-trans-retinol dehydrogenase [NAD(+)] ADH1B",NA,"SeqId.9834-62","OID30612",0.506412815628154,1514,7.26111954813076e-90,NA,"Moderate correlation","Spearman","OID30612",0.79054982212673,88,0,0,"Strong correlation","Spearman"
"Eldjarn et al.","P35609","ACTN2","Alpha-actinin-2",NA,"SeqId.9844-138","OID30192",0.762066943934812,1514,9.58677030472172e-260,NA,"Strong correlation","Spearman","OID30192",0.428571428571429,8,0.299206349206349,0.34294819112078,"Weak correlation","Spearman"
"Eldjarn et al.","P23381","WARS1","Tryptophan--tRNA ligase, cytoplasmic",NA,"SeqId.9870-17","OID21084",0.506870990276158,1514,2.75505709242372e-95,NA,"Moderate correlation","Spearman","OID21084",0.80828431545208,88,0,0,"Strong correlation","Spearman"
"Eldjarn et al.","P46109","CRKL","Crk-like protein",NA,"SeqId.9877-28","OID20742",0.801802157924324,1514,6.43807061782812e-319,NA,"Strong correlation","Spearman","OID20742",0.831848120883379,88,0,0,"Strong correlation","Spearman"
"Eldjarn et al.","Q04760","GLO1","Lactoylglutathione lyase",NA,"SeqId.9883-29","OID20107",0.491926973048504,1514,4.93568206923596e-89,NA,"Weak correlation","Spearman","OID20107",0.739512521573738,88,0,0,"Strong correlation","Spearman"
"Eldjarn et al.","Q96GP6","SCARF2","Scavenger receptor class F member 2",NA,"SeqId.9925-56","OID21048",0.0161857300354746,1514,0.538419654213835,NA,"No correlation","Spearman","OID21048",0.498989898989899,54,0.000150220397563947,0.000251257524221771,"Weak correlation","Spearman"
"Eldjarn et al.","P25815","S100P","Protein S100-P",NA,"SeqId.9926-4","OID20103",0.0581199212276177,1514,0.0270491117535128,NA,"No correlation","Spearman","OID20103",0.410088858509911,76,0.000264110839775008,0.000430897598419053,"Weak correlation","Spearman"
"Eldjarn et al.","Q13444","ADAM15","Disintegrin and metalloproteinase domain-containing protein 15",NA,"SeqId.9956-7","OID20109",-0.0207552570931986,1514,0.430158001159936,NA,"No correlation","Spearman","OID20109",0.263344621835188,53,0.0570177923974994,0.0735517122938091,"No correlation","Spearman"
"Eldjarn et al.","Q9HBB8","CDHR5","Cadherin-related family member 5",NA,"SeqId.9962-1","OID20193",0.232456452558523,1514,3.31046789175072e-19,NA,"No correlation","Spearman","OID20193",0.796114966010355,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P41159","LEP","Leptin",NA,"SeqId_8484_24","OID00463",0.956561131283739,485,NA,NA,"Strong correlation","Spearman","OID20187",0.92231693142193,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P16562","CRISP2","Cysteine-rich secretory protein 2",NA,"SeqId_9282_12","OID01338",0.943692563181048,485,NA,NA,"Strong correlation","Spearman","OID21456",0.904009034443817,22,3.66016201329011e-06,6.91023898495741e-06,"Strong correlation","Spearman"
"Pietzner et al.","Q13231","CHIT1","Chitotriosidase-1",NA,"SeqId_3600_2","OID00605",0.9379142061681,485,NA,NA,"Strong correlation","Spearman","OID20312",0.916047338945441,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P16581","SELE","E-selectin",NA,"SeqId_3470_1","OID00596",0.937074859493218,485,NA,NA,"Strong correlation","Spearman","OID20290",0.895565496107922,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q12864","CDH17","Cadherin-17",NA,"SeqId_16613_3","OID05138",0.933613724143145,485,NA,NA,"Strong correlation","Spearman","OID20134",0.914688412108942,76,7.73396204660013e-31,2.45270875017178e-30,"Strong correlation","Spearman"
"Pietzner et al.","O75023","LILRB5","Leukocyte immunoglobulin-like receptor subfamily B member 5",NA,"SeqId_7015_8","OID01220",0.932469118180573,485,NA,NA,"Strong correlation","Spearman","OID20324",0.867422774823008,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q8NFP4","MDGA1","MAM domain-containing glycosylphosphatidylinositol anchor protein 1",NA,"SeqId_16900_29","OID00353",0.926392705351017,485,NA,NA,"Strong correlation","Spearman","OID20951",-0.153846153846154,12,0.635139955377586,0.679690056513075,"No correlation","Spearman"
"Pietzner et al.","P15086","CPB1","Carboxypeptidase B",NA,"SeqId_15375_49","OID00632",0.923213045927972,485,NA,NA,"Strong correlation","Spearman","OID20289",0.819925328449157,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P00915","CA1","Carbonic anhydrase 1",NA,"SeqId_4969_2","OID01223",0.921766859751361,485,NA,NA,"Strong correlation","Spearman","OID20409",0.928551301468776,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q01638","IL1RL1","Interleukin-1 receptor-like 1",NA,"SeqId_4234_8","OID00634",0.919888933029049,485,NA,NA,"Strong correlation","Spearman","OID20250",0.756445760829322,74,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P11226","MBL2","Mannose-binding protein C",NA,"SeqId_3000_66","OID01243",0.91713691398168,485,NA,NA,"Strong correlation","Spearman","OID30759",0.97097218737595,88,3.29761006817605e-55,1.06371479056307e-54,"Strong correlation","Spearman"
"Pietzner et al.","Q6UWV6","ENPP7","Ectonucleotide pyrophosphatase/phosphodiesterase family member 7",NA,"SeqId_4435_66","OID01181",0.914691050043981,485,NA,NA,"Strong correlation","Spearman","OID20689",0.733474352194606,62,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P18065","IGFBP2","Insulin-like growth factor-binding protein 2",NA,"SeqId_8469_41","OID00650",0.912678617691667,485,NA,NA,"Strong correlation","Spearman","OID20325",0.882709309288155,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q8N6Q3","CD177","CD177 antigen",NA,"SeqId_13116_25","OID01442",0.90722996733293,485,NA,NA,"Strong correlation","Spearman","OID21119",0.780701754385965,19,0.000118321962436041,0.000199084196110716,"Strong correlation","Spearman"
"Pietzner et al.","P14780","MMP9","Matrix metalloproteinase-9",NA,"SeqId_2579_17","OID00568",0.893423767711028,485,NA,NA,"Strong correlation","Spearman","OID21103",0.924941002430348,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P80370","DLK1","Protein delta homolog 1",NA,"SeqId_6496_60","OID00598",0.890377695254646,485,NA,NA,"Strong correlation","Spearman","OID20295",0.77298951048951,65,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P23280","CA6","Carbonic anhydrase 6",NA,"SeqId_3352_80","OID01452",0.889426149694018,485,NA,NA,"Strong correlation","Spearman","OID21096",0.900003522242965,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P17405","SMPD1","Sphingomyelin phosphodiesterase",NA,"SeqId_10818_36","OID00309",0.888735927986299,485,NA,NA,"Strong correlation","Spearman","OID21028",0.701425640420632,88,2.72085152746189e-14,7.52902297672666e-14,"Strong correlation","Spearman"
"Pietzner et al.","O15467","CCL16","C-C motif chemokine 16",NA,"SeqId_4913_78","OID00654",0.873845780678558,485,NA,NA,"Strong correlation","Spearman","OID20334",0.829998943327111,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q86VB7","CD163","Scavenger receptor cysteine-rich type 1 protein M130",NA,"SeqId_5028_59","OID00577",0.87366518597168,485,NA,NA,"Strong correlation","Spearman","OID20360",0.880965799020817,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P20023","CR2","Complement receptor type 2",NA,"SeqId_15570_99","OID01258",0.872774067108035,485,NA,NA,"Strong correlation","Spearman","OID20393",0.919058856679934,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q99983","OMD","Osteomodulin",NA,"SeqId_5358_3","OID01482",0.871935698323182,485,NA,NA,"Strong correlation","Spearman","OID20725",0.856380543129865,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P07451","CA3","Carbonic anhydrase 3",NA,"SeqId_3799_11","OID01235",0.866261958235845,485,NA,NA,"Strong correlation","Spearman","OID20271",0.871719911239478,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P80511","S100A12","Protein S100-A12",NA,"SeqId_5852_6","OID00541",0.864678829903482,485,NA,NA,"Strong correlation","Spearman","OID21374",0.806124401913876,76,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P08833","IGFBP1","Insulin-like growth factor-binding protein 1",NA,"SeqId_2771_35","OID00604",0.851470558381057,485,NA,NA,"Strong correlation","Spearman","OID20246",0.868485944435311,78,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q96QR1","SCGB3A1","Secretoglobin family 3A member 1",NA,"SeqId_6252_62","OID01474",0.85024554092898,485,NA,NA,"Strong correlation","Spearman","OID30577",0.801040827386279,88,7.26812854782879e-21,2.19992416367258e-20,"Strong correlation","Spearman"
"Pietzner et al.","P07949","RET","Proto-oncogene tyrosine-protein kinase receptor Ret",NA,"SeqId_3220_40","OID00716",0.843194591587999,485,NA,NA,"Strong correlation","Spearman","OID21346",0.793114973262032,33,6.54822728361192e-07,1.30617466487595e-06,"Strong correlation","Spearman"
"Pietzner et al.","Q99727","TIMP4","Metalloproteinase inhibitor 4",NA,"SeqId_6462_12","OID00585",0.841709890905539,485,NA,NA,"Strong correlation","Spearman","OID21147",0.763736263736264,13,0.00360204194163413,0.00528830344877105,"Strong correlation","Spearman"
"Pietzner et al.","Q96H15","TIMD4","T-cell immunoglobulin and mucin domain-containing protein 4",NA,"SeqId_15449_33","OID01298",0.84120417010179,485,NA,NA,"Strong correlation","Spearman","OID20375",0.887045573630404,88,1.31110685746803e-30,4.14632952963981e-30,"Strong correlation","Spearman"
"Pietzner et al.","P08887","IL6R","Interleukin-6 receptor subunit alpha",NA,"SeqId_15602_43","OID00602",0.838608425689965,485,NA,NA,"Strong correlation","Spearman","OID20385",0.653217568947906,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","Q96KN2","CNDP1","Beta-Ala-His dipeptidase",NA,"SeqId_5456_59","OID01299",0.837913595915082,485,NA,NA,"Strong correlation","Spearman","OID20347",0.878183227079004,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P09601","HMOX1","Heme oxygenase 1",NA,"SeqId_17398_55","OID00432",0.837283199160704,485,NA,NA,"Strong correlation","Spearman","OID20217",-0.0103896103896104,21,0.966248850961223,0.97314447166389,"No correlation","Spearman"
"Pietzner et al.","P35475","IDUA","Alpha-L-iduronidase",NA,"SeqId_3169_70","OID00393",0.835924630121958,485,NA,NA,"Strong correlation","Spearman","OID21468",0.733333333333333,9,0.0311232363315697,0.0414364785593657,"Strong correlation","Spearman"
"Pietzner et al.","P14384","CPM","Carboxypeptidase M",NA,"SeqId_9416_77","OID00348",0.834278236613676,485,NA,NA,"Strong correlation","Spearman","OID21054",0.722852312352506,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P30043","BLVRB","Flavin reductase (NADPH)",NA,"SeqId_17148_7","OID01424",0.833600479479878,485,NA,NA,"Strong correlation","Spearman","OID21141",0.887957451304991,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P09417","QDPR","Dihydropteridine reductase",NA,"SeqId_11257_1","OID01162",0.832822593992754,485,NA,NA,"Strong correlation","Spearman","OID20174",0.641722488038277,76,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","Q9UBR2","CTSZ","Cathepsin Z",NA,"SeqId_4971_1","OID00643",0.828763135403607,485,NA,NA,"Strong correlation","Spearman","OID20365",0.68542848085661,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","Q9NNX6","CD209","CD209 antigen",NA,"SeqId_3029_52","OID01491",0.828467223056773,485,NA,NA,"Strong correlation","Spearman","OID20262",0.539061674474305,88,1.00232035645388e-07,2.15957954663442e-07,"Moderate correlation","Spearman"
"Pietzner et al.","P13686","ACP5","Tartrate-resistant acid phosphatase type 5",NA,"SeqId_3232_28","OID00606",0.827772897584456,485,NA,NA,"Strong correlation","Spearman","OID20314",0.512605042016807,35,0.00188444511624232,0.00284811049027789,"Moderate correlation","Spearman"
"Pietzner et al.","P51693","APLP1","Amyloid beta precursor like protein 1",NA,"SeqId_7210_25","OID01151",0.820179522511867,485,NA,NA,"Strong correlation","Spearman","OID20164",0.639392765312951,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","P05164","MPO","Myeloperoxidase",NA,"SeqId_2580_83","OID00600",0.819150796507958,485,NA,NA,"Strong correlation","Spearman","OID21100",0.662269733366208,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","Q9BZR6","RTN4R","Reticulon-4 receptor",NA,"SeqId_5105_2","OID01193",0.818360995367799,485,NA,NA,"Strong correlation","Spearman","OID21424",0.38673957621326,76,0.000612126315558766,0.000957189210894525,"Weak correlation","Spearman"
"Pietzner et al.","P30086","PEBP1","Phosphatidylethanolamine-binding protein 1",NA,"SeqId_4276_10","OID01483",0.816320207645586,485,NA,NA,"Strong correlation","Spearman","OID21087",0.845532034799761,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P09619","PDGFRB","Platelet-derived growth factor receptor beta",NA,"SeqId_3459_49","OID01417",0.815472788366199,485,NA,NA,"Strong correlation","Spearman","OID20268",0.834106028793742,88,6.16653387645622e-24,1.90219036790138e-23,"Strong correlation","Spearman"
"Pietzner et al.","Q9UBX1","CTSF","Cathepsin F",NA,"SeqId_9212_22","OID01400",0.814082663545951,485,NA,NA,"Strong correlation","Spearman","OID21500",0.785935683843472,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P05451","REG1A","Lithostathine-1-alpha",NA,"SeqId_13095_51","OID01231",0.812170020018217,485,NA,NA,"Strong correlation","Spearman","OID20415",0.881044002041854,88,1.06607363815902e-29,3.35263826596526e-29,"Strong correlation","Spearman"
"Pietzner et al.","Q9NR71","ASAH2","Neutral ceramidase",NA,"SeqId_3212_30","OID00361",0.811336841724658,485,NA,NA,"Strong correlation","Spearman","OID20996",0.823289070480082,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P00352","ALDH1A1","Aldehyde dehydrogenase 1A1",NA,"SeqId_11265_8","OID01156",0.811310260925437,485,NA,NA,"Strong correlation","Spearman","OID21128",0.908650628720369,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q16663","CCL15","C-C motif chemokine 15",NA,"SeqId_18289_16","OID00629",0.811270179580813,485,NA,NA,"Strong correlation","Spearman","OID20328",0.755466128962129,88,1.81563778749885e-17,5.29678310616588e-17,"Strong correlation","Spearman"
"Pietzner et al.","P55774","CCL18","C-C motif chemokine 18",NA,"SeqId_3044_3","OID01276",0.810529979860302,485,NA,NA,"Strong correlation","Spearman","OID20395",0.786147018421331,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q9HCN6","GP6","Platelet glycoprotein VI",NA,"SeqId_3194_36","OID05026",0.809847325391841,485,NA,NA,"Strong correlation","Spearman","OID21091",0.932156899012676,88,1.04175452042874e-39,3.35082864263262e-39,"Strong correlation","Spearman"
"Pietzner et al.","P07478","PRSS2","Trypsin-2",NA,"SeqId_5034_79","OID01236",0.806580336827168,485,NA,NA,"Strong correlation","Spearman","OID20364",0.822919234968828,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P05121","SERPINE1","Plasminogen activator inhibitor 1",NA,"SeqId_2925_9","OID00591",0.804913080853623,485,NA,NA,"Strong correlation","Spearman","OID20342",0.856186819766828,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P15090","FABP4","Fatty acid-binding protein, adipocyte",NA,"SeqId_15386_7","OID00589",0.796694340143048,485,NA,NA,"Strong correlation","Spearman","OID20245",0.88827445317178,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","O00585","CCL21","C-C motif chemokine 21",NA,"SeqId_2516_57","OID01427",0.795840261913139,485,NA,NA,"Strong correlation","Spearman","OID20686",0.382433356117567,56,0.00384620861146334,0.00561029654049368,"Weak correlation","Spearman"
"Pietzner et al.","Q01344","IL5RA","Interleukin-5 receptor subunit alpha",NA,"SeqId_13686_2","OID00354",0.791826131944143,485,NA,NA,"Strong correlation","Spearman","OID20601",0.496503496503497,12,0.104092832873526,0.130869497009144,"Weak correlation","Spearman"
"Pietzner et al.","P21583","KITLG","Kit ligand",NA,"SeqId_9377_25","OID00408",0.791523965431993,485,NA,NA,"Strong correlation","Spearman","OID20196",0.814671967673563,88,4.67483729864139e-22,1.42261221298278e-21,"Strong correlation","Spearman"
"Pietzner et al.","Q9UGM5","FETUB","Fetuin-B",NA,"SeqId_3367_8","OID01305",0.788842658181665,485,NA,NA,"Strong correlation","Spearman","OID20404",0.84651826282977,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","A6NI73","LILRA5","Leukocyte immunoglobulin-like receptor subfamily A member 5",NA,"SeqId_7787_25","OID01155",0.787830472435919,485,NA,NA,"Strong correlation","Spearman","OID20209",0.737334244702666,76,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P78324","SIRPA","Tyrosine-protein phosphatase non-receptor type substrate 1",NA,"SeqId_5430_66","OID00628",0.787613253773444,485,NA,NA,"Strong correlation","Spearman","OID20304",0.380723443223443,64,0.00204709261358049,0.00306520896648856,"Weak correlation","Spearman"
"Pietzner et al.","Q15485","FCN2","Ficolin-2",NA,"SeqId_13717_15","OID01290",0.782530373245147,485,NA,NA,"Strong correlation","Spearman","OID20382",0.596685569370575,88,8.58976760324772e-10,2.17440529687594e-09,"Moderate correlation","Spearman"
"Pietzner et al.","Q99497","PARK7","Parkinson disease protein 7",NA,"SeqId_19523_215","OID01423",0.772285143749406,485,NA,NA,"Strong correlation","Spearman","OID21160",0.900655137191364,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P15509","CSF2RA","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha",NA,"SeqId_10438_19","OID00334",0.770839080217539,485,NA,NA,"Strong correlation","Spearman","OID20915",0.689892632358386,74,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","P08670","VIM","Vimentin",NA,"SeqId_15540_6","OID00717",0.766567524480404,485,NA,NA,"Strong correlation","Spearman","OID20053",-0.117519636504526,88,0.274953305744553,0.319693390510402,"No correlation","Spearman"
"Pietzner et al.","Q07654","TFF3","Trefoil factor 3",NA,"SeqId_4721_54","OID00573",0.764697158099505,485,NA,NA,"Strong correlation","Spearman","OID20371",0.6866436546793,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","P35542","SAA4","Serum amyloid A-4 protein",NA,"SeqId_15516_12","OID01269",0.763918552800587,485,NA,NA,"Strong correlation","Spearman","OID30726",0.594554612377162,88,1.18094848691702e-09,2.9432468912347e-09,"Moderate correlation","Spearman"
"Pietzner et al.","Q9NPY3","CD93","Complement component C1q receptor",NA,"SeqId_14136_234","OID00639",0.763322499086131,485,NA,NA,"Strong correlation","Spearman","OID20397",0.779155366137156,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P28799","GRN","Progranulin",NA,"SeqId_4992_49","OID00579",0.753071175570874,485,NA,NA,"Strong correlation","Spearman","OID21159",0.481349723503927,88,2.78372075275932e-06,5.30881880044809e-06,"Weak correlation","Spearman"
"Pietzner et al.","P20333","TNFRSF1B","Tumor necrosis factor receptor superfamily member 1B",NA,"SeqId_8368_102","OID00567",0.752088750905882,485,NA,NA,"Strong correlation","Spearman","OID21145",0.916666666666667,9,0.00131172839506173,0.00201488620139414,"Strong correlation","Spearman"
"Pietzner et al.","Q9Y5Y7","LYVE1","Lymphatic vessel endothelial hyaluronic acid receptor 1",NA,"SeqId_3206_4","OID01307",0.751758387761616,485,NA,NA,"Strong correlation","Spearman","OID30728",0.759501250396253,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q06323","PSME1","Proteasome activator complex subunit 1",NA,"SeqId_5918_5","OID05187",0.751265696544975,485,NA,NA,"Strong correlation","Spearman","OID20969",0.77170582226762,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q9NQ25","SLAMF7","SLAM family member 7",NA,"SeqId_5487_7","OID00383",0.749574779027229,485,NA,NA,"Strong correlation","Spearman","OID20602",0.473344947735192,41,0.00198567442960129,0.00298512174569887,"Weak correlation","Spearman"
"Pietzner et al.","Q9BYH1","SEZ6L","Seizure 6-like protein",NA,"SeqId_19563_3","OID00698",0.748429480634043,485,NA,NA,"Strong correlation","Spearman","OID21488",0.40815997419771,53,0.00260211342097819,0.00386550796353207,"Weak correlation","Spearman"
"Pietzner et al.","P14151","SELL","L-selectin",NA,"SeqId_4831_4","OID01249",0.746959454004713,485,NA,NA,"Strong correlation","Spearman","OID30752",0.717745060054243,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P21757","MSR1","Macrophage scavenger receptor types I and II",NA,"SeqId_15533_97","OID00310",0.746733435928243,485,NA,NA,"Strong correlation","Spearman","OID21063",0.422832980972516,44,0.00455120567820097,0.006579143675658,"Weak correlation","Spearman"
"Pietzner et al.","Q8NBP7","PCSK9","Proprotein convertase subtilisin/kexin type 9",NA,"SeqId_5231_79","OID00619",0.746246798433401,485,NA,NA,"Strong correlation","Spearman","OID20235",0.703583033233516,88,2.09733232315945e-14,5.83223692819464e-14,"Strong correlation","Spearman"
"Pietzner et al.","Q9NQ79","CRTAC1","Cartilage acidic protein 1",NA,"SeqId_5632_6","OID01304",0.744270174551011,485,NA,NA,"Strong correlation","Spearman","OID20279",0.76487603852331,88,4.17715108520819e-18,1.22812593104168e-17,"Strong correlation","Spearman"
"Pietzner et al.","Q9UBP4","DKK3","Dickkopf-related protein 3",NA,"SeqId_3607_71","OID01407",0.74305803765367,485,NA,NA,"Strong correlation","Spearman","OID20264",0.824504244302772,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P03950","ANG","Angiogenin",NA,"SeqId_4874_3","OID01226",0.743000087646249,485,NA,NA,"Strong correlation","Spearman","OID20403",0.281885104434504,88,0.00798142128707684,0.0112637807913872,"No correlation","Spearman"
"Pietzner et al.","P04085","PDGFA","Platelet-derived growth factor subunit A",NA,"SeqId_4499_21","OID00648",0.742577134679863,485,NA,NA,"Strong correlation","Spearman","OID20313",0.183623693379791,41,0.249529580734846,0.293151817533445,"No correlation","Spearman"
"Pietzner et al.","P49747","COMP","Cartilage oligomeric matrix protein",NA,"SeqId_8043_153","OID01274",0.742020559945817,485,NA,NA,"Strong correlation","Spearman","OID20405",0.73269698143778,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P08236","GUSB","Beta-glucuronidase",NA,"SeqId_15562_24","OID01463",0.74153639884093,485,NA,NA,"Strong correlation","Spearman","OID20296",0.858176887041668,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","Q9Y240","CLEC11A","C-type lectin domain family 11 member A",NA,"SeqId_4500_50","OID01416",0.740856831033218,485,NA,NA,"Strong correlation","Spearman","OID21112",0.141172119564432,88,0.189534392791792,0.227642903682908,"No correlation","Spearman"
"Pietzner et al.","P05067","APP","Amyloid-beta precursor protein",NA,"SeqId_3171_57","OID01409",0.739425224259842,485,NA,NA,"Strong correlation","Spearman","OID21070",0.393399316684865,88,0.00016840529372438,0.00028001410399827,"Weak correlation","Spearman"
"Pietzner et al.","P55103","INHBC","Inhibin beta C chain",NA,"SeqId_6408_2","OID01414",0.737362947574643,485,NA,NA,"Strong correlation","Spearman","OID21093",0.468557238906125,88,4.14498418672948e-06,7.74782640201587e-06,"Weak correlation","Spearman"
"Pietzner et al.","Q8IWV2","CNTN4","Contactin-4",NA,"SeqId_3298_52","OID01476",0.735311391355866,485,NA,NA,"Strong correlation","Spearman","OID21117",0.62438801028495,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","P46109","CRKL","Crk-like protein",NA,"SeqId_9877_28","OID01191",0.734878429585831,485,NA,NA,"Strong correlation","Spearman","OID20742",0.831848120883379,88,0,0,"Strong correlation","Spearman"
"Pietzner et al.","P27930","IL1R2","Interleukin-1 receptor type 2",NA,"SeqId_14133_93","OID00627",0.732544751859698,485,NA,NA,"Strong correlation","Spearman","OID20757",0.63497235039273,88,0,0,"Moderate correlation","Spearman"
"Pietzner et al.","P24158","PRTN3","Myeloblastin",NA,"SeqId_13720_95","OID00618",0.730563218869283,485,NA,NA,"Strong correlation","Spearman","OID20329",0.670977443609022,76,0,0,"Moderate correlation","Spearman"
