"Study","UniProt","Gene.Name","Description","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08397","HMBS","Porphobilinogen deaminase","OID21385",0.74010799327255,78,NA,NA,"Strong correlation","Spearman","OID21385",0.803247508013103,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08473","MME","Neprilysin","OID21307",-0.0259362532172588,78,NA,NA,"No correlation","Spearman","OID21307",0.610958904109589,74,1.49103932268404e-08,3.42151096607782e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08519","LPA","Apolipoprotein(a)","OID30747",0.847064328076986,78,NA,NA,"Strong correlation","Spearman","OID30747",0.637490754112219,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08571","CD14","Monocyte differentiation antigen CD14","OID20378",0.540788325598452,78,NA,NA,"Moderate correlation","Spearman","OID20378",0.670177168821105,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08575","PTPRC","Receptor-type tyrosine-protein phosphatase C","OID30380",0.490711819825744,78,NA,NA,"Weak correlation","Spearman","OID30380",0.548994399633687,88,5.28904400471727e-08,1.15276654079649e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08581","MET","Hepatocyte growth factor receptor","OID20269",0.332618853424455,78,NA,NA,"Weak correlation","Spearman","OID20269",0.536334297556788,88,7.21463861118698e-08,1.56040746973757e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08582","MELTF","Melanotransferrin","OID30347",0.496781699313345,78,NA,NA,"Weak correlation","Spearman","OID30347",0.350980392156863,35,0.0393396011380259,0.0520075054857508,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08603","CFH","Complement factor H","OID30790",0.69635427863276,78,NA,NA,"Moderate correlation","Spearman","OID30790",0.523422915712726,88,2.61726861032908e-07,5.37253865647552e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08648","ITGA5","Integrin alpha-5","OID21139",0.450463779670986,78,NA,NA,"Weak correlation","Spearman","OID21139",0.393751540981297,88,0.00016599639176763,0.000276415820509814,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08670","VIM","Vimentin","OID20053",0.269717624148004,78,NA,NA,"No correlation","Spearman","OID20053",-0.117519636504526,88,0.274953305744553,0.319693390510402,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08697","SERPINF2","Alpha-2-antiplasmin","OID30779",-0.00881397083928729,78,NA,NA,"No correlation","Spearman","OID30779",0.462012609629812,88,7.52082909420933e-06,1.36731337316624e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08709","F7","Coagulation factor VII","OID20372",0.372045675843144,78,NA,NA,"Weak correlation","Spearman","OID20372",0.726445000176112,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08727","KRT19","Keratin, type I cytoskeletal 19","OID20596",0.285483870967742,78,NA,NA,"No correlation","Spearman","OID20596",0.0841813135985199,47,0.572609750430813,0.621611930996526,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08758","ANXA5","Annexin A5","OID20810",0.112431871925543,78,NA,NA,"No correlation","Spearman","OID20810",0.137596421401148,88,0.200721167509358,0.240057413260663,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08833","IGFBP1","Insulin-like growth factor-binding protein 1","OID20246",0.894842000105158,78,NA,NA,"Strong correlation","Spearman","OID20246",0.868485944435311,78,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P08887","IL6R","Interleukin-6 receptor subunit alpha","OID20385",0.685656116035863,78,NA,NA,"Moderate correlation","Spearman","OID20385",0.653217568947906,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09093","CELA3A","Chymotrypsin-like elastase family member 3A","OID20298",0.812415432668597,78,NA,NA,"Strong correlation","Spearman","OID20298",0.816240266963293,30,1.03193419179606e-06,2.01566384522103e-06,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09104","ENO2","Gamma-enolase","OID21046",0.497211649110383,78,NA,NA,"Weak correlation","Spearman","OID21046",0.851202845972315,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09110","ACAA1","3-ketoacyl-CoA thiolase, peroxisomal","OID21269",0.22049003627951,78,NA,NA,"No correlation","Spearman","OID21269",0.700734048560136,22,0.00040580994167591,0.000649346428888676,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09172","DBH","Dopamine beta-hydroxylase","OID30703",0.962518494164064,78,NA,NA,"Strong correlation","Spearman","OID30703",0.90887957451305,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09211","GSTP1","Glutathione S-transferase P","OID20876",0.09573970333464,78,NA,NA,"No correlation","Spearman","OID20876",0.254270719594238,88,0.0170418028397373,0.0232089208758304,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09237","MMP7","Matrilysin","OID20087",0.459500667047837,78,NA,NA,"Weak correlation","Spearman","OID20087",0.707509881422925,22,0.000337407039963649,0.000544967879998512,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09326","CD48","CD48 antigen","OID20692",0.6379316885646,78,NA,NA,"Moderate correlation","Spearman","OID20692",0.649246088193457,75,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09382","LGALS1","Galectin-1","OID20154",0.618963315165847,78,NA,NA,"Moderate correlation","Spearman","OID20154",0.416575675390088,88,6.31474522499426e-05,0.00010851365843255,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09417","QDPR","Dihydropteridine reductase","OID20174",0.766638424866273,78,NA,NA,"Strong correlation","Spearman","OID20174",0.641722488038277,76,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09467","FBP1","Fructose-1,6-bisphosphatase 1","OID20227",0.456265253733608,78,NA,NA,"Weak correlation","Spearman","OID20227",0.51387763727942,88,4.59300898106649e-07,9.29302354771338e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09486","SPARC","SPARC","OID21511",0.493544430253291,78,NA,NA,"Weak correlation","Spearman","OID21511",0.896622168997218,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09525","ANXA4","Annexin A4","OID20123",0.0192269238664702,78,NA,NA,"No correlation","Spearman","OID20123",0.795974076291783,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09529","INHBB","Inhibin beta B chain","OID30625",0.707608846849353,78,NA,NA,"Strong correlation","Spearman","OID30625",0.406316157816464,70,0.000535942775499402,0.000845082951869867,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09603","CSF1","Macrophage colony-stimulating factor 1","OID20719",0.244845311941767,78,NA,NA,"No correlation","Spearman","OID20719",0.771529710119404,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09619","PDGFRB","Platelet-derived growth factor receptor beta","OID20268",0.849062330074988,78,NA,NA,"Strong correlation","Spearman","OID20268",0.834106028793742,88,6.16653387645622e-24,1.90219036790138e-23,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09668","CTSH","Pro-cathepsin H","OID20113",0.415774099318403,78,NA,NA,"Weak correlation","Spearman","OID20113",0.529058504455637,88,1.86281271303481e-07,3.88028699818506e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09681","GIP","Gastric inhibitory polypeptide","OID30288",0.0311440024668517,78,NA,NA,"No correlation","Spearman","OID30288",0.693958215697346,22,0.000485314830293971,0.000769551184553221,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09871","C1S","Complement C1s subcomponent","OID30731",0.182791891652651,78,NA,NA,"No correlation","Spearman","OID30731",0.375964214011483,88,0.000337262405313755,0.000544967879998512,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09958","FURIN","Furin","OID21514",0.511222954260929,78,NA,NA,"Moderate correlation","Spearman","OID21514",0.600935828877005,33,0.000286760167592807,0.000465830545629178,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P09960","LTA4H","Leukotriene A-4 hydrolase","OID21452",0.453634972622314,78,NA,NA,"Weak correlation","Spearman","OID21452",0.500123278503751,88,1.00463559994942e-06,1.9657427943551e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10451","SPP1","Osteopontin","OID20322",0.753588183967931,78,NA,NA,"Strong correlation","Spearman","OID20322",0.754675777535135,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10586","PTPRF","Receptor-type tyrosine-protein phosphatase F","OID20310",0.545091270077981,78,NA,NA,"Moderate correlation","Spearman","OID20310",0.649043711035187,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10599","TXN","Thioredoxin","OID30670",0.456366418391735,78,NA,NA,"Weak correlation","Spearman","OID30670",0.700239512521574,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10643","C7","Complement component C7","OID30766",0.646990016262609,78,NA,NA,"Moderate correlation","Spearman","OID30766",0.756801260975868,88,1.47995368531125e-17,4.32867282569016e-17,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10644","PRKAR1A","cAMP-dependent protein kinase type I-alpha regulatory subunit","OID20146",0.584339710921989,78,NA,NA,"Moderate correlation","Spearman","OID20146",0.636728307254623,75,1.03205034654117e-10,2.7097321889418e-10,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10645","CHGA","Chromogranin-A","OID30403",0.9000999000999,78,NA,NA,"Strong correlation","Spearman","OID30403",0.894949103589166,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10646","TFPI","Tissue factor pathway inhibitor","OID20388",0.28782609795268,78,NA,NA,"No correlation","Spearman","OID20388",0.683931527596774,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10721","KIT","Mast/stem cell growth factor receptor Kit","OID20370",0.760947912846647,78,NA,NA,"Strong correlation","Spearman","OID20370",0.832781515268924,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10746","UROS","Uroporphyrinogen-III synthase","OID30964",0.217633737403894,78,NA,NA,"No correlation","Spearman","OID30964",0.579091406677613,28,0.00151025829958183,0.00230105481812131,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10909","CLU","Clusterin","OID30732",0.256414471604345,78,NA,NA,"No correlation","Spearman","OID30732",0.400443802613504,88,0.000125880088475284,0.000211171797754229,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P10912","GHR","Growth hormone receptor","OID30574",0.858268313964516,78,NA,NA,"Strong correlation","Spearman","OID30574",0.876707745014595,88,4.5226714849682e-29,1.41443105444019e-28,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P11215","ITGAM","Integrin alpha-M","OID21071",0.20143014879857,78,NA,NA,"No correlation","Spearman","OID21071",0.602102924842651,74,2.8019883834226e-08,6.30168303761777e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P11226","MBL2","Mannose-binding protein C","OID30759",0.95973646606558,78,NA,NA,"Strong correlation","Spearman","OID30759",0.97097218737595,88,3.29761006817605e-55,1.06371479056307e-54,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P11279","LAMP1","Lysosome-associated membrane glycoprotein 1","OID30416",0.170652132677449,78,NA,NA,"No correlation","Spearman","OID30416",0.453788172308126,88,1.12900199843723e-05,2.02324326386608e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P11684","SCGB1A1","Uteroglobin","OID20688",0.545793042967988,78,NA,NA,"Moderate correlation","Spearman","OID20688",0.8137561804708,88,5.66062597722447e-22,1.71796955061463e-21,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P11717","IGF2R","Cation-independent mannose-6-phosphate receptor","OID21146",0.364534199977238,78,NA,NA,"Weak correlation","Spearman","OID21146",0.583459547039555,88,4.00310202345248e-09,9.57521649253781e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P12081","HARS1","Histidine--tRNA ligase, cytoplasmic","OID21086",0.808343555178998,78,NA,NA,"Strong correlation","Spearman","OID21086",0.85455069124424,63,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P12111","COL6A3","Collagen alpha-3(VI) chain","OID20292",0.0878367697937979,78,NA,NA,"No correlation","Spearman","OID20292",0.223820929167694,88,0.036259597132808,0.0480482220222304,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P12318","FCGR2A","Low affinity immunoglobulin gamma Fc region receptor II-a","OID20391",0.661174268769205,78,NA,NA,"Moderate correlation","Spearman","OID20391",0.697016660209221,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P12429","ANXA3","Annexin A3","OID21036",0.842157842157842,78,NA,NA,"Strong correlation","Spearman","OID21036",0.892148920432532,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P12644","BMP4","Bone morphogenetic protein 4","OID20994",0.0810780772436788,78,NA,NA,"No correlation","Spearman","OID20994",0.733333333333333,9,0.0311232363315697,0.0414364785593657,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P12821","ACE","Angiotensin-converting enzyme","OID30696",0.70801350548186,78,NA,NA,"Strong correlation","Spearman","OID30696",0.710260293755063,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P12830","CDH1","Cadherin-1","OID20353",0.740669082002956,78,NA,NA,"Strong correlation","Spearman","OID20353",0.706350604064669,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P12931","SRC","Proto-oncogene tyrosine-protein kinase Src","OID21521",0.76190897709885,78,NA,NA,"Strong correlation","Spearman","OID21521",0.903930823148181,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P12955","PEPD","Xaa-Pro dipeptidase","OID30688",0.531784671025177,78,NA,NA,"Moderate correlation","Spearman","OID30688",0.591243703990701,88,1.7979377379143e-09,4.4031924210526e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13224","GP1BB","Platelet glycoprotein Ib beta chain","OID30174",0.279012297000459,78,NA,NA,"No correlation","Spearman","OID30174",0.124242424242424,45,0.414872651204489,0.466525122718992,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13284","IFI30","Gamma-interferon-inducible lysosomal thiol reductase","OID31505",0.435409560248903,78,NA,NA,"Weak correlation","Spearman","OID31505",0.251490356516657,59,0.0549223646373994,0.0711093459582843,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13473","LAMP2","Lysosome-associated membrane glycoprotein 2","OID21035",0.606874138519708,78,NA,NA,"Moderate correlation","Spearman","OID21035",0.643267232573703,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13501","CCL5","C-C motif chemokine 5","OID20412",0.546034801925213,78,NA,NA,"Moderate correlation","Spearman","OID20412",0.780564263322884,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13591","NCAM1","Neural cell adhesion molecule 1","OID20354",0.565020833739804,78,NA,NA,"Moderate correlation","Spearman","OID20354",0.553027367827833,88,4.04664525811798e-08,8.95816175767686e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13598","ICAM2","Intercellular adhesion molecule 2","OID20248",0.591446528155389,78,NA,NA,"Moderate correlation","Spearman","OID20248",0.633404952273608,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13611","VCAN","Versican core protein","OID21026",0.373537854550513,78,NA,NA,"Weak correlation","Spearman","OID21026",0.596439012363073,88,8.93553234033021e-10,2.25183393130196e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13647","KRT5","Keratin, type II cytoskeletal 5","OID20860",-0.0468012999658569,78,NA,NA,"No correlation","Spearman","OID20860",0.0137367475608467,88,0.898773990230731,0.915808515316332,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13667","PDIA4","Protein disulfide-isomerase A4","OID30375",0.328053769362324,78,NA,NA,"Weak correlation","Spearman","OID30375",0.75495755697228,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13686","ACP5","Tartrate-resistant acid phosphatase type 5","OID20314",0.804145221866741,78,NA,NA,"Strong correlation","Spearman","OID20314",0.512605042016807,35,0.00188444511624232,0.00284811049027789,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13688","CEACAM1","Carcinoembryonic antigen-related cell adhesion molecule 1","OID21528",0.191847341569494,78,NA,NA,"No correlation","Spearman","OID21528",0.489574160825614,88,1.79331569408638e-06,3.46094601474107e-06,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13693","TPT1","Translationally-controlled tumor protein","OID20476",-0.136357313572503,78,NA,NA,"No correlation","Spearman","OID20476",0.114807509422,88,0.28624206793593,0.331114031454575,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13727","PRG2","Bone marrow proteoglycan","OID30381",0.65156362624717,78,NA,NA,"Moderate correlation","Spearman","OID30381",0.768817583036878,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13796","LCP1","Plastin-2","OID30367",0.389875946837972,78,NA,NA,"Weak correlation","Spearman","OID30367",0.598622803000951,88,6.09558185377003e-10,1.5499801605645e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13929","ENO3","Beta-enolase","OID30209",0.529331428065605,78,NA,NA,"Moderate correlation","Spearman","OID30209",-0.00996677740863787,43,0.949581905775908,0.957212474661608,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P13987","CD59","CD59 glycoprotein","OID20339",0.480841700637855,78,NA,NA,"Weak correlation","Spearman","OID20339",0.611073931879821,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14151","SELL","L-selectin","OID30752",0.696358681577176,78,NA,NA,"Moderate correlation","Spearman","OID30752",0.717745060054243,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14174","MIF","Macrophage migration inhibitory factor","OID21073",0.222600184625501,78,NA,NA,"No correlation","Spearman","OID21073",0.856732767426297,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14207","FOLR2","Folate receptor beta","OID21062",0.434616016894498,78,NA,NA,"Weak correlation","Spearman","OID21062",0.612518051495192,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14209","CD99","CD99 antigen","OID21110",0.153656869446343,78,NA,NA,"No correlation","Spearman","OID21110",0.592831323450339,88,1.16255320251053e-09,2.90381098591678e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14317","HCLS1","Hematopoietic lineage cell-specific protein","OID20648",0.673743977541446,78,NA,NA,"Moderate correlation","Spearman","OID20648",0.641941391941392,64,2.60694234142229e-08,5.87472635422309e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14384","CPM","Carboxypeptidase M","OID21054",0.643571618255162,78,NA,NA,"Moderate correlation","Spearman","OID21054",0.722852312352506,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14415","ATP1B2","Sodium/potassium-transporting ATPase subunit beta-2","OID30118",-0.00745044429254956,78,NA,NA,"No correlation","Spearman","OID30118",-0.0559006211180124,22,0.805059019815072,0.835396721848544,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14543","NID1","Nidogen-1","OID20362",0.587652853475638,78,NA,NA,"Moderate correlation","Spearman","OID20362",0.759659751329647,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14555","PLA2G2A","Phospholipase A2, membrane associated","OID20274",0.302330670751723,78,NA,NA,"Weak correlation","Spearman","OID20274",0.677992277992278,36,9.83260437119559e-06,1.76767680494902e-05,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14625","HSP90B1","Endoplasmin","OID20829",0.0932358780460046,78,NA,NA,"No correlation","Spearman","OID20829",-0.0624845901870311,88,0.562360988945579,0.612252224223296,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14778","IL1R1","Interleukin-1 receptor type 1","OID21116",0.369541850554509,78,NA,NA,"Weak correlation","Spearman","OID21116",0.453481972645253,88,9.12263988090344e-06,1.64265716515789e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14780","MMP9","Matrix metalloproteinase-9","OID21103",0.842006095170652,78,NA,NA,"Strong correlation","Spearman","OID21103",0.924941002430348,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P14868","DARS1","Aspartate--tRNA ligase, cytoplasmic","OID20903",0.822177822177822,78,NA,NA,"Strong correlation","Spearman","OID20903",0.734436090225564,76,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15085","CPA1","Carboxypeptidase A1","OID20280",0.884975783709961,78,NA,NA,"Strong correlation","Spearman","OID20280",0.914439938897679,88,1.53731697885867e-35,4.91680132898425e-35,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15086","CPB1","Carboxypeptidase B","OID20289",0.842385462638627,78,NA,NA,"Strong correlation","Spearman","OID20289",0.819925328449157,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15090","FABP4","Fatty acid-binding protein, adipocyte","OID20245",0.925643976276887,78,NA,NA,"Strong correlation","Spearman","OID20245",0.88827445317178,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15121","AKR1B1","Aldo-keto reductase family 1 member B1","OID21244",0.585528395654978,78,NA,NA,"Moderate correlation","Spearman","OID21244",0.52710365961044,88,2.09749632957917e-07,4.33713068881846e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15144","ANPEP","Aminopeptidase N","OID20350",0.511248245425461,78,NA,NA,"Moderate correlation","Spearman","OID20350",0.684779880866244,88,1.88021937721082e-13,5.12745815669326e-13,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15289","ARSA","Arylsulfatase A","OID21138",0.704042792650387,78,NA,NA,"Strong correlation","Spearman","OID21138",0.34984520123839,18,0.15495006143369,0.189532632024524,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15291","B4GALT1","Beta-1,4-galactosyltransferase 1","OID20780",0.398955474904842,78,NA,NA,"Weak correlation","Spearman","OID20780",0.612148215983939,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15311","EZR","Ezrin","OID21017",0.235195184562273,78,NA,NA,"No correlation","Spearman","OID21017",0.46484801521609,88,6.52326505888396e-06,1.19557893692857e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15509","CSF2RA","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","OID20915",0.487373386107563,78,NA,NA,"Weak correlation","Spearman","OID20915",0.689892632358386,74,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15529","CD46","Membrane cofactor protein","OID20380",0.532669861783786,78,NA,NA,"Moderate correlation","Spearman","OID20380",0.599115917015956,88,5.52006934514119e-10,1.4068077405563e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15531","NME1","Nucleoside diphosphate kinase A","OID30451",-0.0470542116111736,78,NA,NA,"No correlation","Spearman","OID30451",0.0811877003275686,88,0.451357160935214,0.504037818690264,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P15907","ST6GAL1","Beta-galactoside alpha-2,6-sialyltransferase 1","OID20302",0.523033928097219,78,NA,NA,"Moderate correlation","Spearman","OID20302",0.508242048536508,88,6.35379228541773e-07,1.2718850159994e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16035","TIMP2","Metalloproteinase inhibitor 2","OID30318",0.0393153638481022,78,NA,NA,"No correlation","Spearman","OID30318",0.430875981825226,88,3.33120771997825e-05,5.83995887555193e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16109","SELP","P-selectin","OID20379",0.351180465104516,78,NA,NA,"Weak correlation","Spearman","OID20379",0.830381240459426,88,1.47441470103759e-23,4.53573350809657e-23,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16112","ACAN","Aggrecan core protein","OID20159",0.297819874072221,78,NA,NA,"No correlation","Spearman","OID20159",0.534024867035328,88,1.37315651556257e-07,2.90317173421375e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16233","PNLIP","Pancreatic triacylglycerol lipase","OID30693",0.869244679371261,78,NA,NA,"Strong correlation","Spearman","OID30693",0.857982624644955,76,4.18339584592855e-23,1.28343856251449e-22,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16234","PDGFRA","Platelet-derived growth factor receptor alpha","OID20133",0.521819952199699,78,NA,NA,"Moderate correlation","Spearman","OID20133",0.0274193548387097,31,0.883719397181716,0.905371324335896,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - Olink 3K)","P16278","GLB1","Beta-galactosidase","OID20949",0.656925353127885,78,NA,NA,"Moderate correlation","Spearman","OID20949",0.296521739130435,24,0.159157159637296,0.194468001331718,"No correlation","Spearman"
