"Study","UniProt","Gene.Name","Description","SomaID","SomaScan.SeqID","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14174","MIF","Macrophage migration inhibitory factor",NA,"5356-2",0.17480098889428,78,NA,NA,"No correlation","Spearman","OID21073",0.856732767426297,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14174","MIF","Macrophage migration inhibitory factor",NA,"8221-19",0.254138266796495,78,NA,NA,"No correlation","Spearman","OID21073",0.856732767426297,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14207","FOLR2","Folate receptor beta",NA,"15587-20",0.443392050986988,78,NA,NA,"Weak correlation","Spearman","OID21062",0.612518051495192,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14317","HCLS1","Hematopoietic lineage cell-specific protein",NA,"21439-37",0.589929058283489,78,NA,NA,"Moderate correlation","Spearman","OID20648",0.641941391941392,64,2.60694234142229e-08,5.87472635422309e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14384","CPM","Carboxypeptidase M",NA,"7768-10",0.499411980424639,78,NA,NA,"Weak correlation","Spearman","OID21054",0.722852312352506,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14384","CPM","Carboxypeptidase M",NA,"9416-77",0.614891437676248,78,NA,NA,"Moderate correlation","Spearman","OID21054",0.722852312352506,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14415","ATP1B2","Sodium/potassium-transporting ATPase subunit beta-2",NA,"7218-87",0.436842105263158,78,NA,NA,"Weak correlation","Spearman","OID30118",-0.0559006211180124,22,0.805059019815072,0.835396721848544,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14543","NID1","Nidogen-1",NA,"3213-65",0.583732722973229,78,NA,NA,"Moderate correlation","Spearman","OID20362",0.759659751329647,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14555","PLA2G2A","Phospholipase A2, membrane associated",NA,"2692-74",0.172557172557173,78,NA,NA,"No correlation","Spearman","OID20274",0.677992277992278,36,9.83260437119559e-06,1.76767680494902e-05,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14625","HSP90B1","Endoplasmin",NA,"6393-63",0.639272120284778,78,NA,NA,"Moderate correlation","Spearman","OID20829",-0.0624845901870311,88,0.562360988945579,0.612252224223296,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14778","IL1R1","Interleukin-1 receptor type 1",NA,"2991-9",0.385525866538525,78,NA,NA,"Weak correlation","Spearman","OID21116",0.453481972645253,88,9.12263988090344e-06,1.64265716515789e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14780","MMP9","Matrix metalloproteinase-9",NA,"2579-17",0.845597440534149,78,NA,NA,"Strong correlation","Spearman","OID21103",0.924941002430348,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P14868","DARS1","Aspartate--tRNA ligase, cytoplasmic",NA,"12675-14",0.840261004817967,78,NA,NA,"Strong correlation","Spearman","OID20903",0.734436090225564,76,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15085","CPA1","Carboxypeptidase A1",NA,"19760-26",0.683936316847709,78,NA,NA,"Moderate correlation","Spearman","OID20280",0.914439938897679,88,1.53731697885867e-35,4.91680132898425e-35,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15085","CPA1","Carboxypeptidase A1",NA,"23981-172",0.205896672298102,78,NA,NA,"No correlation","Spearman","OID20280",0.914439938897679,88,1.53731697885867e-35,4.91680132898425e-35,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15086","CPB1","Carboxypeptidase B",NA,"15375-49",0.835228063076164,78,NA,NA,"Strong correlation","Spearman","OID20289",0.819925328449157,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15086","CPB1","Carboxypeptidase B",NA,"6356-3",0.855612741688691,78,NA,NA,"Strong correlation","Spearman","OID20289",0.819925328449157,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15090","FABP4","Fatty acid-binding protein, adipocyte",NA,"15386-7",0.90328658683089,78,NA,NA,"Strong correlation","Spearman","OID20245",0.88827445317178,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15090","FABP4","Fatty acid-binding protein, adipocyte",NA,"9851-9",0.913377761479027,78,NA,NA,"Strong correlation","Spearman","OID20245",0.88827445317178,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15121","AKR1B1","Aldo-keto reductase family 1 member B1",NA,"16606-85",0.535477181046801,78,NA,NA,"Moderate correlation","Spearman","OID21244",0.52710365961044,88,2.09749632957917e-07,4.33713068881846e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15121","AKR1B1","Aldo-keto reductase family 1 member B1",NA,"9854-36",0.726400182096384,78,NA,NA,"Strong correlation","Spearman","OID21244",0.52710365961044,88,2.09749632957917e-07,4.33713068881846e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15144","ANPEP","Aminopeptidase N",NA,"15457-14",-0.285322272664045,78,NA,NA,"No correlation","Spearman","OID20350",0.684779880866244,88,1.88021937721082e-13,5.12745815669326e-13,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15289","ARSA","Arylsulfatase A",NA,"3583-54",0.221210569248907,78,NA,NA,"No correlation","Spearman","OID21138",0.34984520123839,18,0.15495006143369,0.189532632024524,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15289","ARSA","Arylsulfatase A",NA,"8790-6",-0.124008068360053,78,NA,NA,"No correlation","Spearman","OID21138",0.34984520123839,18,0.15495006143369,0.189532632024524,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15291","B4GALT1","Beta-1,4-galactosyltransferase 1",NA,"13381-49",0.446426990730788,78,NA,NA,"Weak correlation","Spearman","OID20780",0.612148215983939,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15311","EZR","Ezrin",NA,"9753-17",-0.180212192870421,78,NA,NA,"No correlation","Spearman","OID21017",0.46484801521609,88,6.52326505888396e-06,1.19557893692857e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15509","CSF2RA","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha",NA,"10438-19",0.410680526320671,78,NA,NA,"Weak correlation","Spearman","OID20915",0.689892632358386,74,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15529","CD46","Membrane cofactor protein",NA,"17682-1",0.454343125229201,78,NA,NA,"Weak correlation","Spearman","OID20380",0.599115917015956,88,5.52006934514119e-10,1.4068077405563e-09,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15531","NME1","Nucleoside diphosphate kinase A",NA,"5909-51",0.368557825459291,78,NA,NA,"Weak correlation","Spearman","OID30451",0.0811877003275686,88,0.451357160935214,0.504037818690264,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P15907","ST6GAL1","Beta-galactoside alpha-2,6-sialyltransferase 1",NA,"6035-2",0.0754950808123289,78,NA,NA,"No correlation","Spearman","OID20302",0.508242048536508,88,6.35379228541773e-07,1.2718850159994e-06,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16035","TIMP2","Metalloproteinase inhibitor 2",NA,"2278-61",0.2991818308274,78,NA,NA,"No correlation","Spearman","OID30318",0.430875981825226,88,3.33120771997825e-05,5.83995887555193e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16109","SELP","P-selectin",NA,"4154-57",0.461702854107917,78,NA,NA,"Weak correlation","Spearman","OID20379",0.830381240459426,88,1.47441470103759e-23,4.53573350809657e-23,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16112","ACAN","Aggrecan core protein",NA,"3280-49",0.182741309323588,78,NA,NA,"No correlation","Spearman","OID20159",0.534024867035328,88,1.37315651556257e-07,2.90317173421375e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16233","PNLIP","Pancreatic triacylglycerol lipase",NA,"15613-16",0.857831142489501,78,NA,NA,"Strong correlation","Spearman","OID30693",0.857982624644955,76,4.18339584592855e-23,1.28343856251449e-22,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16234","PDGFRA","Platelet-derived growth factor receptor alpha",NA,"10366-11",0.281402142161636,78,NA,NA,"No correlation","Spearman","OID20133",0.0274193548387097,31,0.883719397181716,0.905371324335896,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16278","GLB1","Beta-galactosidase",NA,"10554-23",-0.0508365264398719,78,NA,NA,"No correlation","Spearman","OID20949",0.296521739130435,24,0.159157159637296,0.194468001331718,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16284","PECAM1","Platelet endothelial cell adhesion molecule",NA,"2695-25",-0.109396932181742,78,NA,NA,"No correlation","Spearman","OID21131",0.450987989151492,88,1.29364061265405e-05,2.30365970297543e-05,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16444","DPEP1","Dipeptidase 1",NA,"10528-2",-0.231299418464632,78,NA,NA,"No correlation","Spearman","OID20897",0.736698344065258,78,1.4962498725721e-14,4.17102742255284e-14,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16444","DPEP1","Dipeptidase 1",NA,"8794-13",0.140534424364954,78,NA,NA,"No correlation","Spearman","OID20897",0.736698344065258,78,1.4962498725721e-14,4.17102742255284e-14,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16562","CRISP2","Cysteine-rich secretory protein 2",NA,"9282-12",0.855701592002962,78,NA,NA,"Strong correlation","Spearman","OID21456",0.904009034443817,22,3.66016201329011e-06,6.91023898495741e-06,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16581","SELE","E-selectin",NA,"3470-1",0.770052732078048,78,NA,NA,"Strong correlation","Spearman","OID20290",0.895565496107922,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16671","CD36","Platelet glycoprotein 4",NA,"2973-15",0.341013416962784,78,NA,NA,"Weak correlation","Spearman","OID30485",0.326987425592617,88,0.00196886146631643,0.00296774979368658,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16870","CPE","Carboxypeptidase E",NA,"5343-74",-0.306606726233864,78,NA,NA,"No correlation","Spearman","OID21392",-0.192307692307692,13,0.529184736920623,0.580148845263649,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16870","CPE","Carboxypeptidase E",NA,"6024-68",-0.262490989878711,78,NA,NA,"No correlation","Spearman","OID21392",-0.192307692307692,13,0.529184736920623,0.580148845263649,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P16871","IL7R","Interleukin-7 receptor subunit alpha",NA,"5089-11",-0.206489712818827,78,NA,NA,"No correlation","Spearman","OID21136",0.730914476119955,74,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17174","GOT1","Aspartate aminotransferase, cytoplasmic",NA,"4912-17",-0.210106349346856,78,NA,NA,"No correlation","Spearman","OID30417",0.704924095664119,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17181","IFNAR1","Interferon alpha/beta receptor 1",NA,"6055-53",-0.112912404051645,78,NA,NA,"No correlation","Spearman","OID31491",0.468045112781955,57,0.000282879931659307,0.000460189398909737,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17181","IFNAR1","Interferon alpha/beta receptor 1",NA,"9183-7",-0.0813874820605936,78,NA,NA,"No correlation","Spearman","OID31491",0.468045112781955,57,0.000282879931659307,0.000460189398909737,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17301","ITGA2","Integrin alpha-2",NA,"15603-20",0.0236475378758886,78,NA,NA,"No correlation","Spearman","OID30570",0.694744813497235,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17405","SMPD1","Sphingomyelin phosphodiesterase",NA,"10818-36",0.751716637792587,78,NA,NA,"Strong correlation","Spearman","OID21028",0.701425640420632,88,2.72085152746189e-14,7.52902297672666e-14,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17813","ENG","Endoglin",NA,"4908-6",0.050228887937449,78,NA,NA,"No correlation","Spearman","OID20287",0.361012292627946,88,0.00059465242587403,0.000932448040016361,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17900","GM2A","Ganglioside GM2 activator",NA,"15441-6",0.548603295438738,78,NA,NA,"Moderate correlation","Spearman","OID30413",0.620108485083301,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17927","CR1","Complement receptor type 1",NA,"19556-12",0.713931637982271,78,NA,NA,"Strong correlation","Spearman","OID30697",0.644502855237021,88,1.23865924073187e-11,3.32963400663401e-11,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17931","LGALS3","Galectin-3",NA,"3066-12",0.286437865295211,78,NA,NA,"No correlation","Spearman","OID20284",0.391285970906273,88,0.000183552520776192,0.000303412585587586,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17936","IGFBP3","Insulin-like growth factor-binding protein 3",NA,"2571-12",0.505532442241303,78,NA,NA,"Moderate correlation","Spearman","OID20398",0.715332323623684,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P17980","PSMC3","26S proteasome regulatory subunit 6A",NA,"23665-35",0.261447413346147,78,NA,NA,"No correlation","Spearman","OID31200",0.181479374110953,75,0.119058869451324,0.148200070132905,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P18065","IGFBP2","Insulin-like growth factor-binding protein 2",NA,"22985-160",0.928350130881776,78,NA,NA,"Strong correlation","Spearman","OID20325",0.882709309288155,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P18065","IGFBP2","Insulin-like growth factor-binding protein 2",NA,"2570-72",0.912846647023862,78,NA,NA,"Strong correlation","Spearman","OID20325",0.882709309288155,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P18065","IGFBP2","Insulin-like growth factor-binding protein 2",NA,"8469-41",0.919068273498653,78,NA,NA,"Strong correlation","Spearman","OID20325",0.882709309288155,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P18065","IGFBP2","Insulin-like growth factor-binding protein 2",NA,"8819-3",0.919422349802096,78,NA,NA,"Strong correlation","Spearman","OID20325",0.882709309288155,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P18084","ITGB5","Integrin beta-5",NA,"7755-37",-0.0889051247260203,78,NA,NA,"No correlation","Spearman","OID21522",0.255003819709702,34,0.14523948180822,0.17862241281207,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P18428","LBP","Lipopolysaccharide-binding protein",NA,"3074-6",0.424170765942918,78,NA,NA,"Weak correlation","Spearman","OID20355",0.772445493290127,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P18510","IL1RN","Interleukin-1 receptor antagonist protein",NA,"5353-89",0.320883457114748,78,NA,NA,"Weak correlation","Spearman","OID20700",-0.238095238095238,8,0.582142857142857,0.62833583720295,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P19021","PAM","Peptidyl-glycine alpha-amidating monooxygenase",NA,"5620-13",0.376471629636187,78,NA,NA,"Weak correlation","Spearman","OID20291",0.20372653305625,88,0.0570693533829733,0.0735517122938091,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P19022","CDH2","Cadherin-2",NA,"3797-1",-0.131096751349916,78,NA,NA,"No correlation","Spearman","OID20170",0.652724454932901,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P19256","CD58","Lymphocyte function-associated antigen 3",NA,"10938-13",-0.174572263179858,78,NA,NA,"No correlation","Spearman","OID20716",0.522383854038252,88,2.78475573518969e-07,5.70596955540682e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P19320","VCAM1","Vascular cell adhesion protein 1",NA,"20093-9",0.504166719356593,78,NA,NA,"Moderate correlation","Spearman","OID20396",0.817583036877884,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P19320","VCAM1","Vascular cell adhesion protein 1",NA,"2967-8",0.408566117426877,78,NA,NA,"Weak correlation","Spearman","OID20396",0.817583036877884,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P19438","TNFRSF1A","Tumor necrosis factor receptor superfamily member 1A",NA,"2654-19",0.437473918486577,78,NA,NA,"Weak correlation","Spearman","OID21155",0.287381275440977,66,0.019608659727079,0.026608385615231,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P19827","ITIH1","Inter-alpha-trypsin inhibitor heavy chain H1",NA,"7955-195",0.363901920863946,78,NA,NA,"Weak correlation","Spearman","OID30722",0.259132555797287,88,0.0147720548946004,0.0202891118929487,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P19971","TYMP","Thymidine phosphorylase",NA,"11361-73",0.366481619646177,78,NA,NA,"Weak correlation","Spearman","OID20234",0.774506005424254,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20023","CR2","Complement receptor type 2",NA,"15570-99",0.906549147055476,78,NA,NA,"Strong correlation","Spearman","OID20393",0.919058856679934,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20061","TCN1","Transcobalamin-1",NA,"11232-46",0.177064562432012,78,NA,NA,"No correlation","Spearman","OID30687",0.362750191537712,88,0.000514016382153785,0.0008139193484595,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20061","TCN1","Transcobalamin-1",NA,"19614-8",0.189418176759949,78,NA,NA,"No correlation","Spearman","OID30687",0.362750191537712,88,0.000514016382153785,0.0008139193484595,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20062","TCN2","Transcobalamin-2",NA,"15560-52",-0.211092704763591,78,NA,NA,"No correlation","Spearman","OID20341",0.52897044838153,88,1.87282674332654e-07,3.89396205012092e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20062","TCN2","Transcobalamin-2",NA,"5584-21",0.339040706129314,78,NA,NA,"Weak correlation","Spearman","OID20341",0.52897044838153,88,1.87282674332654e-07,3.89396205012092e-07,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20138","CD33","Myeloid cell surface antigen CD33",NA,"3166-92",0.556999962063253,78,NA,NA,"Moderate correlation","Spearman","OID21472",0.638159309045385,78,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20333","TNFRSF1B","Tumor necrosis factor receptor superfamily member 1B",NA,"3152-57",0.32924969767075,78,NA,NA,"Weak correlation","Spearman","OID21145",0.916666666666667,9,0.00131172839506173,0.00201488620139414,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20333","TNFRSF1B","Tumor necrosis factor receptor superfamily member 1B",NA,"8368-102",0.310321257689679,78,NA,NA,"Weak correlation","Spearman","OID21145",0.916666666666667,9,0.00131172839506173,0.00201488620139414,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20340","RAB6A","Ras-related protein Rab-6A",NA,"20083-1",0.693420503547086,78,NA,NA,"Moderate correlation","Spearman","OID20608",0.331121806738245,74,0.00412276959649938,0.00599048503789935,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20700","LMNB1","Lamin-B1",NA,"3889-64",0.108688779574856,78,NA,NA,"No correlation","Spearman","OID31501",0.362402669632925,30,0.0497809348812769,0.0648243085132199,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20701","ITGAL","Integrin alpha-L",NA,"11617-1",0.161496731116984,78,NA,NA,"No correlation","Spearman","OID30537",0.139104035542392,74,0.236645764364688,0.278886292241892,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20742","PZP","Pregnancy zone protein",NA,"6580-29",0.984370060319427,78,NA,NA,"Strong correlation","Spearman","OID30730",0.964196400267691,88,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20774","OGN","Mimecan",NA,"17224-12",0.692914680256452,78,NA,NA,"Moderate correlation","Spearman","OID21123",0.62824486633088,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20827","EFNA1","Ephrin-A1",NA,"20091-138",0.680243806826085,78,NA,NA,"Moderate correlation","Spearman","OID21125",0.631056633519525,88,4.38154885073701e-11,1.1584938296211e-10,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20851","C4BPB","C4b-binding protein beta chain",NA,"7155-46",-0.0300079667168275,78,NA,NA,"No correlation","Spearman","OID21481",0.409566411891092,88,8.55637235863773e-05,0.000145047213106637,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20908","COL5A1","Collagen alpha-1(V) chain",NA,"22047-46",0.250344592116744,78,NA,NA,"No correlation","Spearman","OID30587",0.241308865485541,88,0.0237424212907568,0.0320636287527087,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P20936","RASA1","Ras GTPase-activating protein 1",NA,"5481-16",-0.0642252484357747,78,NA,NA,"No correlation","Spearman","OID20826",0.0842245989304813,33,0.640059972285659,0.683012957193298,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P21583","KITLG","Kit ligand",NA,"9377-25",-0.0544534412955466,78,NA,NA,"No correlation","Spearman","OID20196",0.814671967673563,88,4.67483729864139e-22,1.42261221298278e-21,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P21589","NT5E","5'-nucleotidase",NA,"15452-5",0.333274320616093,78,NA,NA,"Weak correlation","Spearman","OID21498",0.777361585782638,76,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P21589","NT5E","5'-nucleotidase",NA,"6993-8",0.0362935095383179,78,NA,NA,"No correlation","Spearman","OID21498",0.777361585782638,76,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P21695","GPD1","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",NA,"11081-1",0.602397602397602,78,NA,NA,"Moderate correlation","Spearman","OID31358",0.573139375154098,88,9.55750783021354e-09,2.20212782455328e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P21695","GPD1","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",NA,"13697-51",0.80186901705889,78,NA,NA,"Strong correlation","Spearman","OID31358",0.573139375154098,88,9.55750783021354e-09,2.20212782455328e-08,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P21709","EPHA1","Ephrin type-A receptor 1",NA,"3431-54",0.618305744888023,78,NA,NA,"Moderate correlation","Spearman","OID20677",0.679123665950477,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P21802","FGFR2","Fibroblast growth factor receptor 2",NA,"3808-76",-0.0354331455459576,78,NA,NA,"No correlation","Spearman","OID21478",0.0873764171470015,68,0.477719432692727,0.528251948589705,"No correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P21860","ERBB3","Receptor tyrosine-protein kinase erbB-3",NA,"2617-56",0.470580052858534,78,NA,NA,"Weak correlation","Spearman","OID20705",0.381654135338346,76,0.00072956799293687,0.00113768268511841,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P21980","TGM2","Protein-glutamine gamma-glutamyltransferase 2",NA,"18934-50",0.122311827956989,78,NA,NA,"No correlation","Spearman","OID20141",0.743075871496924,76,0,0,"Strong correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P22105","TNXB","Tenascin-X",NA,"5698-60",0.625817220753929,78,NA,NA,"Moderate correlation","Spearman","OID21107",0.630551935472509,88,0,0,"Moderate correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P22223","CDH3","Cadherin-3",NA,"2643-57",-0.0122282780510629,78,NA,NA,"No correlation","Spearman","OID21008",0.426215644820296,44,0.00421297960465281,0.00611369405353859,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P22303","ACHE","Acetylcholinesterase",NA,"10980-11",0.458465585047863,78,NA,NA,"Weak correlation","Spearman","OID30585",0.427755376344086,63,0.000529243659299394,0.000835686841047575,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P22303","ACHE","Acetylcholinesterase",NA,"15553-22",-0.251901591461626,78,NA,NA,"No correlation","Spearman","OID30585",0.427755376344086,63,0.000529243659299394,0.000835686841047575,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P22304","IDS","Iduronate 2-sulfatase",NA,"3198-4",0.334665334665335,78,NA,NA,"Weak correlation","Spearman","OID20619",0.30554846209897,88,0.00379295169099833,0.00554694619059211,"Weak correlation","Spearman"
"Kirsher et al. (MS HAP Depletion - SomaScan 7K)","P22455","FGFR4","Fibroblast growth factor receptor 4",NA,"4988-49",-0.14371704245122,78,NA,NA,"No correlation","Spearman","OID30646",0.860642457116692,88,0,0,"Strong correlation","Spearman"
