"UniProt","Gene.Name","OlinkID","Description","SomaScan.SeqID","Correlation_Sissala","P.value_Sissala","Adj.p.value_Sissala","N_Sissala","Correlation_Eldjarn","P.value_Eldjarn","cis.pQTL.olink_Eldjarn","cis.pQTL.soma_Eldjarn","confidence.tier_Eldjarn","cis.pQTL.platform_Eldjarn","High.corr.in.both.studies"
"P18428","LBP","OID20355","Lipopolysaccharide-binding protein","3074_6",0.772445493290127,0,0,88,0.3,"5.1878795558191697E-31","Y","Y","2","Both",FALSE
"P36980","CFHR2","OID30720","Complement factor H-related protein 2","15584_9",0.866401324363355,0,0,88,0.82,"0","Y","Y","1","Both",TRUE
"P04083","ANXA1","OID30617","Annexin A1","4960_72",0.580342362016132,5.28953326150973e-09,1.24414230255093e-08,88,0.56,"9.3717518121114898E-113","Y","Y","1","Both",FALSE
"P13598","ICAM2","OID20248","Intercellular adhesion molecule 2","5486_73",0.633404952273608,0,0,88,0.08,"1.4755881219611E-3","Y","N","3","Olink only",FALSE
"Q15113","PCOLCE","OID20384","Procollagen C-endopeptidase enhancer 1","11237_49",0.752562431756543,0,0,88,0.68,"1.07409016550234E-200","Y","Y","1","Both",FALSE
"Q86U17","SERPINA11","OID20281","Serpin A11","9002_36",0.77080223840273,1.59784358856205e-18,4.77239526848294e-18,88,0.59,"3.9397296226295002E-138","Y","Y","1","Both",FALSE
"Q9Y5Y7","LYVE1","OID30728","Lymphatic vessel endothelial hyaluronic acid receptor 1","3206_4",0.759501250396253,0,0,88,0.66,"2.23918940940282E-170","Y","Y","1","Both",FALSE
"Q6UWV6","ENPP7","OID20689","Ectonucleotide pyrophosphatase/phosphodiesterase family member 7","4435_66",0.733474352194606,0,0,62,0.9,"0","Y","Y","1","Both",TRUE
"P33151","CDH5","OID20243","Cadherin-5","2819_23",0.702711270423412,2.33058604381026e-14,6.46494261292821e-14,88,0.54,"2.5230788688467101E-108","Y","Y","1","Both",FALSE
"P07339","CTSD","OID20358","Cathepsin D","5508_62",0.780440984819133,0,0,88,0.47,"5.29158283773203E-80","Y","Y","2","Both",FALSE
"P01833","PIGR","OID21102","Polymeric immunoglobulin receptor","3216_2",0.546810608995809,6.10131582838174e-08,1.32724192104874e-07,88,0.48,"4.5634751910190999E-85","Y","Y","2","Both",FALSE
"Q06323","PSME1","OID20969","Proteasome activator complex subunit 1","5918_5",0.77170582226762,0,0,88,0.72,"1.9438102676329899E-229","Y","Y","1","Both",TRUE
"P15907","ST6GAL1","OID20302","Beta-galactoside alpha-2,6-sialyltransferase 1","6035_2",0.508242048536508,6.35379228541773e-07,1.2718850159994e-06,88,0.11,"4.6898701036194797E-5","Y","N","3","Olink only",FALSE
"Q10471","GALNT2","OID21423","Polypeptide N-acetylgalactosaminyltransferase 2","5764_4",0.329877117210751,0.00169741883388978,0.00257925419039242,88,-0.08,"1.6222293063116E-3","Y","N","3","Olink only",FALSE
"O00244","ATOX1","OID21476","Copper transport protein ATOX1","19233_75",0.795637198622273,0,0,66,0.48,"1.19409738046052E-82","Y","Y","2","Both",FALSE
"P08670","VIM","OID20053","Vimentin","15540_6",-0.117519636504526,0.274953305744553,0.319693390510402,88,0.17,"3.7689253680847202E-11","N","Y","3","SomaScan only",FALSE
"Q9BS26","ERP44","OID21338","Endoplasmic reticulum resident protein 44","6064_4",0.383027997555743,0.00023027095056923,0.000377871952314914,88,0.39,"1.86061236948353E-52","Y","N","3","Olink only",FALSE
"P14778","IL1R1","OID21116","Interleukin-1 receptor type 1","2991_9",0.453481972645253,9.12263988090344e-06,1.64265716515789e-05,88,0.39,"8.0505492580483697E-53","Y","Y","2","Both",FALSE
"Q99983","OMD","OID20725","Osteomodulin","5358_3",0.856380543129865,0,0,88,0.81,"0","Y","Y","1","Both",TRUE
"P55145","MANF","OID20707","Mesencephalic astrocyte-derived neurotrophic factor","9223_11",0.734669437497799,0,0,88,0.69,"4.1073172944866197E-198","Y","Y","1","Both",FALSE
"Q8TDL5","BPIFB1","OID20308","BPI fold-containing family B member 1","15367_38",0.906185058645345,0,0,88,0.84,"0","Y","Y","1","Both",TRUE
"P08697","SERPINF2","OID30779","Alpha-2-antiplasmin","3024_18",0.462012609629812,7.52082909420933e-06,1.36731337316624e-05,88,0.34,"5.6132178381477503E-39","Y","Y","2","Both",FALSE
"P42574","CASP3","OID20305","Caspase-3","3593_72",0.900743193265472,0,0,88,0.72,"2.7934438201862298E-232","Y","Y","1","Both",TRUE
"P20774","OGN","OID21123","Mimecan","17224_12",0.62824486633088,0,0,88,0.42,"2.4479883606613899E-61","Y","Y","2","Both",FALSE
"O15394","NCAM2","OID21095","Neural cell adhesion molecule 2","6507_16",0.755961396217111,0,0,88,0.46,"3.7505581239082197E-77","Y","Y","2","Both",FALSE
"Q6UVK1","CSPG4","OID30397","Chondroitin sulfate proteoglycan 4","8951_162",0.707442499383608,0,0,88,-0.07,"6.0287686722270998E-3","Y","N","3","Olink only",FALSE
"P13667","PDIA4","OID30375","Protein disulfide-isomerase A4","7146_16",0.75495755697228,0,0,88,-0.15,"1.1166598583849401E-8","Y","N","3","Olink only",FALSE
"Q99497","PARK7","OID21160","Parkinson disease protein 7","19523_215",0.900655137191364,0,0,88,0.76,"2.4935872743825901E-277","Y","Y","1","Both",TRUE
"Q99497","PARK7","OID21160","Parkinson disease protein 7","19545_145",0.900655137191364,0,0,88,0.17,"2.6854986360851898E-10","Y","N","3","Olink only",FALSE
"Q8NBP7","PCSK9","OID20235","Proprotein convertase subtilisin/kexin type 9","5231_79",0.703583033233516,2.09733232315945e-14,5.83223692819464e-14,88,0.65,"1.1630511504841E-177","Y","Y","1","Both",FALSE
"P32942","ICAM3","OID20277","Intercellular adhesion molecule 3","2649_77",0.62086576732063,0,0,88,-0.02,"0.34286351382382002","Y","N","3","Olink only",FALSE
"P27918","CFP","OID30784","Properdin","2960_66",0.153728294177732,0.152485114559145,0.186719842014397,88,0.46,"1.7785671141316601E-73","Y","Y","2","Both",FALSE
"P06132","UROD","OID30603","Uroporphyrinogen decarboxylase","19289_29",0.846007537599944,0,0,88,0.2,"3.9690656832921697E-14","Y","Y","2","Both",FALSE
"P26447","S100A4","OID21519","Protein S100-A4","14116_129",0.812722341587123,0,0,88,0.25,"1.20248274835801E-22","Y","Y","2","Both",FALSE
"P06744","GPI","OID30680","Glucose-6-phosphate isomerase","4272_46",0.872318692543412,0,0,88,0.73,"4.53071031989731E-231","N","N","3","None",TRUE
"P48643","CCT5","OID21200","T-complex protein 1 subunit epsilon","12569_25",0.748250978534684,5.35994221084778e-17,1.54371805001203e-16,88,0.43,"1.3119094358698599E-65","N","Y","3","SomaScan only",FALSE
"Q14126","DSG2","OID21113","Desmoglein-2","9484_75",0.673376569062605,6.5761550877337e-13,1.77619117082568e-12,88,0.52,"5.9576981295596303E-99","Y","Y","1","Both",FALSE
"P03950","ANG","OID20403","Angiogenin","4874_3",0.281885104434504,0.00798142128707684,0.0112637807913872,88,0.64,"1.96898756767394E-169","Y","Y","1","Both",FALSE
"P08833","IGFBP1","OID20246","Insulin-like growth factor-binding protein 1","2771_35",0.868485944435311,0,0,78,0.89,"0","Y","Y","1","Both",TRUE
"Q08830","FGL1","OID30702","Fibrinogen-like protein 1","5581_28",0.91064069599521,0,0,88,0.84,"0","Y","Y","1","Both",TRUE
"P10645","CHGA","OID30403","Chromogranin-A","8476_11",0.894949103589166,0,0,88,0.62,"2.42853056895662E-147","Y","Y","1","Both",FALSE
"P12104","FABP2","OID20200","Fatty acid-binding protein, intestinal","15385_116",0.708108108108108,3.06677945119511e-06,5.819149580503e-06,36,0.65,"1.48049200382769E-174","Y","Y","1","Both",FALSE
"P34096","RNASE4","OID30705","Ribonuclease 4","5644_60",0.240340248670353,0.0243231946831147,0.0328087058509397,88,0.59,"5.6888620759798201E-127","Y","Y","1","Both",FALSE
"P17900","GM2A","OID30413","Ganglioside GM2 activator","15441_6",0.620108485083301,0,0,88,0.55,"2.0140457256934498E-108","Y","Y","1","Both",FALSE
"P14780","MMP9","OID21103","Matrix metalloproteinase-9","2579_17",0.924941002430348,0,0,88,0.85,"0","Y","Y","1","Both",TRUE
"Q6UX71","PLXDC2","OID31101","Plexin domain-containing protein 2","11342_59",0.420802366947272,5.24168569661888e-05,9.09041958753105e-05,88,0,"0.93017199976590703","Y","N","3","Olink only",FALSE
"P36222","CHI3L1","OID20399","Chitinase-3-like protein 1","11104_13",0.902786094184777,0,0,88,0.51,"2.3878025151235999E-95","Y","Y","1","Both",FALSE
"P01591","JCHAIN","OID20494","Immunoglobulin J chain","15306_20",0.517382269028918,3.74323606837098e-07,7.6146189571006e-07,88,0.02,"0.47032515119013801","N","N","3","None",FALSE
"P55774","CCL18","OID20395","C-C motif chemokine 18","3044_3",0.786147018421331,0,0,88,0.73,"3.0074136855819403E-240","Y","Y","1","Both",TRUE
"P08758","ANXA5","OID20810","Annexin A5","14158_17",0.137596421401148,0.200721167509358,0.240057413260663,88,-0.04,"0.10702460743122701","Y","Y","2","Both",FALSE
"P11684","SCGB1A1","OID20688","Uteroglobin","10569_28",0.8137561804708,5.66062597722447e-22,1.71796955061463e-21,88,0.03,"0.20094865523684799","Y","Y","2","Both",FALSE
"Q14118","DAG1","OID20774","Dystroglycan 1","8369_102",-0.0562326089253637,0.602164343275546,0.6480872674529,88,-0.35,"5.4965708438747903E-41","Y","N","3","Olink only",FALSE
"Q9UJC5","SH3BGRL2","OID30863","SH3 domain-binding glutamic acid-rich-like protein 2","19113_66",0.324267920593826,0.00205513820479218,0.00307318017643757,88,0.52,"1.4378806706421499E-100","N","Y","3","SomaScan only",FALSE
"Q99972","MYOC","OID21121","Myocilin","16558_2",0.557828879883184,1.64186987923897e-08,3.75237063494088e-08,88,0.51,"1.34775102393503E-98","Y","Y","1","Both",FALSE
"O60234","GMFG","OID30340","Glia maturation factor gamma","13062_4",0.873850868232891,0,0,88,0.56,"6.7679713266374004E-113","Y","Y","1","Both",FALSE
"P22897","MRC1","OID30694","Macrophage mannose receptor 1","2637_77",0.808143425733507,0,0,88,0.58,"4.9362402081935198E-126","Y","Y","1","Both",FALSE
"P14625","HSP90B1","OID20829","Endoplasmin","6393_63",-0.0624845901870311,0.562360988945579,0.612252224223296,88,0.01,"0.67034757343377105","N","Y","3","SomaScan only",FALSE
"P40197","GP5","OID30611","Platelet glycoprotein V","7185_29",0.769173193859353,2.08686310804339e-18,6.1839066902388e-18,88,0.52,"7.06393646360297E-96","Y","Y","1","Both",FALSE
"Q9UBP4","DKK3","OID20264","Dickkopf-related protein 3","3607_71",0.824504244302772,0,0,88,0.68,"3.26827084670893E-197","Y","Y","1","Both",FALSE
"Q99969","RARRES2","OID20373","Retinoic acid receptor responder protein 2","3079_62",0.43300693881864,3.0213944262416e-05,5.3050611309903e-05,88,0.5,"4.5904140908912298E-92","Y","Y","2","Both",FALSE
"P07602","PSAP","OID30419","Prosaposin","6207_10",0.310538550949245,0.00335964069414118,0.00494528597612176,88,0.24,"6.9109160198917196E-19","Y","Y","2","Both",FALSE
"P35590","TIE1","OID20303","Tyrosine-protein kinase receptor Tie-1","2844_53",0.523293135563592,1.68632861749744e-07,3.51915898180151e-07,88,0.48,"4.8201726253529701E-86","Y","Y","2","Both",FALSE
"Q96J42","TXNDC15","OID21495","Thioredoxin domain-containing protein 15","6366_38",0.631203550420908,0,0,88,0.46,"1.11944748607414E-76","Y","Y","2","Both",FALSE
"P08294","SOD3","OID30683","Extracellular superoxide dismutase [Cu-Zn]","5660_51",0.699467698695179,3.43894223308264e-14,9.46967263695194e-14,88,0.73,"5.6385610180431895E-225","Y","Y","1","Both",FALSE
"Q9UKK9","NUDT5","OID21115","ADP-sugar pyrophosphatase","17761_2",0.786820774162546,0,0,78,0.32,"7.3000961942246402E-37","Y","Y","2","Both",FALSE
"O15031","PLXNB2","OID20317","Plexin-B2","9216_100",0.580624141453278,5.16145756302416e-09,1.21655231495914e-08,88,0.46,"6.2271141122384696E-76","Y","Y","2","Both",FALSE
"Q9NP84","TNFRSF12A","OID21482","Tumor necrosis factor receptor superfamily member 12A","5138_50",0.554596622889306,0.000258719086649462,0.000423324418590206,40,0.01,"0.82559773714079498","Y","N","3","Olink only",FALSE
"Q8TDY8","IGDCC4","OID30402","Immunoglobulin superfamily DCC subclass member 4","9793_145",0.708158871475249,1.19821445667546e-14,3.35678442081042e-14,88,0.66,"3.03336613099941E-168","Y","Y","1","Both",FALSE
"Q07960","ARHGAP1","OID21202","Rho GTPase-activating protein 1","11955_1",0.613838892606812,0,0,88,0.44,"4.7241714459709304E-69","N","N","3","None",FALSE
"Q07960","ARHGAP1","OID21202","Rho GTPase-activating protein 1","9815_5",0.613838892606812,0,0,88,0.47,"1.63700138390998E-81","N","N","3","None",FALSE
"P16035","TIMP2","OID30318","Metalloproteinase inhibitor 2","2278_61",0.430875981825226,3.33120771997825e-05,5.83995887555193e-05,88,0.2,"1.7259989443953701E-13","Y","Y","2","Both",FALSE
"P16581","SELE","OID20290","E-selectin","3470_1",0.895565496107922,0,0,88,0.78,"2.1582412803629102E-292","Y","Y","1","Both",TRUE
"P27930","IL1R2","OID20757","Interleukin-1 receptor type 2","14133_93",0.63497235039273,0,0,88,0.61,"6.0670143892084798E-147","Y","Y","1","Both",FALSE
"Q92484","SMPDL3A","OID20676","Acid sphingomyelinase-like phosphodiesterase 3a","4771_10",0.926596456623578,0,0,88,0.25,"1.1905975064944999E-21","Y","Y","2","Both",FALSE
"Q96MK3","FAM20A","OID30348","Pseudokinase FAM20A","6433_57",0.720706917282342,2.43893132838923e-15,6.86671688217316e-15,88,0.47,"3.0028735937867099E-74","Y","Y","2","Both",FALSE
"O75629","CREG1","OID21515","Protein CREG1","9357_4",0.316385474270015,0.0027873747087424,0.00412985045429157,88,0.67,"5.4875703150329904E-193","Y","Y","1","Both",FALSE
"P16444","DPEP1","OID20897","Dipeptidase 1","8794_13",0.736698344065258,1.4962498725721e-14,4.17102742255284e-14,78,0.53,"6.1483256029121198E-105","Y","Y","1","Both",FALSE
"O14960","LECT2","OID30320","Leukocyte cell-derived chemotaxin-2","16763_11",0.264222219289568,0.0128622151903274,0.0177958835170093,88,0.43,"3.6226946021759699E-62","Y","Y","2","Both",FALSE
"P35247","SFTPD","OID20214","Pulmonary surfactant-associated protein D","19590_46",0.579461801275052,5.70619261565151e-09,1.3393537345261e-08,88,0.68,"5.2477648888294798E-195","Y","Y","1","Both",FALSE
"Q04721","NOTCH2","OID30407","Neurogenic locus notch homolog protein 2","11297_54",0.32645908914797,0.00200382734205694,0.00300840567710411,88,0.07,"1.32273846030697E-2","Y","Y","2","Both",FALSE
"Q04721","NOTCH2","OID30407","Neurogenic locus notch homolog protein 2","5106_52",0.32645908914797,0.00200382734205694,0.00300840567710411,88,0.03,"0.33731248423962401","Y","N","3","Olink only",FALSE
"Q15465","SHH","OID30516","Sonic hedgehog protein","2743_5",0.157409038075446,0.142814117787187,0.176215452439054,88,-0.14,"1.7160192330329999E-7","Y","Y","2","Both",FALSE
"P24387","CRHBP","OID20747","Corticotropin-releasing factor-binding protein","6039_24",0.697363149258059,4.4142165641547e-14,1.21256703185661e-13,88,0.56,"2.2396014279740998E-115","Y","Y","1","Both",FALSE
"P17301","ITGA2","OID30570","Integrin alpha-2","15603_20",0.694744813497235,0,0,88,0.08,"2.2710690080705001E-3","Y","Y","2","Both",FALSE
"P30086","PEBP1","OID21087","Phosphatidylethanolamine-binding protein 1","4276_10",0.845532034799761,0,0,88,0.75,"5.9410521861786496E-259","Y","Y","1","Both",TRUE
"Q99674","CGREF1","OID20152","Cell growth regulator with EF hand domain protein 1","6257_56",0.345427204374573,0.0023644680665779,0.0035310640835535,76,-0.12,"4.7148584925197099E-6","Y","N","3","Olink only",FALSE
"P23435","CBLN1","OID30851","Cerebellin-1","9313_27",0.062095520177712,0.598435790486797,0.644688938415643,74,0.04,"0.13550661455705601","N","Y","3","SomaScan only",FALSE
"P17174","GOT1","OID30417","Aspartate aminotransferase, cytoplasmic","4912_17",0.704924095664119,0,0,88,0.14,"4.8810524134128905E-7","Y","N","3","Olink only",FALSE
"P55103","INHBC","OID21093","Inhibin beta C chain","15686_49",0.468557238906125,4.14498418672948e-06,7.74782640201587e-06,88,0.64,"3.3646639690023701E-169","Y","Y","1","Both",FALSE
"P55103","INHBC","OID21093","Inhibin beta C chain","6408_2",0.468557238906125,4.14498418672948e-06,7.74782640201587e-06,88,0.58,"9.7072771256707401E-131","Y","Y","1","Both",FALSE
"Q8NBS9","TXNDC5","OID21012","Thioredoxin domain-containing protein 5","11212_7",0.559913352823078,2.52728281099109e-08,5.70660458721789e-08,88,0.31,"1.58792573779855E-34","Y","Y","2","Both",FALSE
"Q06141","REG3A","OID20258","Regenerating islet-derived protein 3-alpha","15304_1",0.895238095238095,0,0,64,0.86,"0","Y","Y","1","Both",TRUE
"Q96AP7","ESAM","OID20270","Endothelial cell-selective adhesion molecule","7841_84",0.588992061715677,1.57856464264046e-09,3.88278754148383e-09,88,0.35,"1.1674350617729401E-42","Y","Y","2","Both",FALSE
"O95274","LYPD3","OID21530","Ly6/PLAUR domain-containing protein 3","13107_9",0.461466661970343,7.72871697276975e-06,1.40284910968763e-05,88,0.48,"1.23815473679411E-84","Y","Y","2","Both",FALSE
"Q8IWV2","CNTN4","OID21117","Contactin-4","3298_52",0.62438801028495,0,0,88,0.46,"4.1604506239730698E-75","Y","Y","2","Both",FALSE
"Q12864","CDH17","OID20134","Cadherin-17","16613_3",0.914688412108942,7.73396204660013e-31,2.45270875017178e-30,76,0.84,"0","Y","Y","1","Both",TRUE
"Q9BUN1","MENT","OID30595","Protein MENT","5744_12",0.817741537811278,0,0,88,0.59,"6.14616314218188E-130","Y","Y","1","Both",FALSE
"Q9NPY3","CD93","OID20397","Complement component C1q receptor","14136_234",0.779155366137156,0,0,88,0.59,"9.5812342900049003E-135","Y","Y","1","Both",FALSE
"Q9UHL4","DPP7","OID20142","Dipeptidyl peptidase 2","8346_9",0.746348958959714,7.08687810250084e-17,2.03589958720699e-16,88,0.49,"9.6374737516604098E-90","Y","Y","2","Both",FALSE
"P08254","MMP3","OID21083","Stromelysin-1","2788_55",0.86010029631833,7.20021666355985e-27,2.24559243457433e-26,88,-0.06,"3.1045829434009801E-2","Y","N","3","Olink only",FALSE
"P00740","F9","OID20349","Coagulation factor IX","4876_32",0.547948944868757,3.28432451723127e-08,7.34257897020614e-08,88,0.46,"2.8395262920770099E-76","Y","Y","2","Both",FALSE
"P00740","F9","OID20349","Coagulation factor IX","5307_12",0.547948944868757,3.28432451723127e-08,7.34257897020614e-08,88,0.48,"1.7788964327065799E-85","Y","Y","2","Both",FALSE
"O00584","RNASET2","OID20321","Ribonuclease T2","16913_8",0.581487090979536,4.78441085532714e-09,1.13478988564377e-08,88,0.3,"9.5006326431569801E-32","Y","Y","2","Both",FALSE
"Q96G03","PGM2","OID30904","Phosphopentomutase","18330_7",0.215245215234093,0.0440114831162595,0.057845127401929,88,0.37,"3.7036250873513299E-47","N","Y","3","SomaScan only",FALSE
"P24158","PRTN3","OID20329","Myeloblastin","13720_95",0.670977443609022,0,0,76,0.56,"1.40185950554426E-118","Y","Y","1","Both",FALSE
"Q14515","SPARCL1","OID20361","SPARC-like protein 1","4467_49",0.706406547885347,1.48659002038188e-14,4.15435676487907e-14,88,0.5,"4.8587060648476404E-94","Y","Y","2","Both",FALSE
"P00568","AK1","OID20122","Adenylate kinase isoenzyme 1","5012_67",0.876316438307915,0,0,88,0.73,"1.3020834988171001E-245","Y","Y","1","Both",TRUE
"Q969H8","MYDGF","OID30313","Myeloid-derived growth factor","9248_36",0.876915219611849,0,0,88,0.5,"1.1738318863317201E-87","Y","Y","2","Both",FALSE
"Q9NS98","SEMA3G","OID30599","Semaphorin-3G","5628_21",-0.148295887324389,0.167930144832668,0.203863584425894,88,-0.06,"3.6257413804420997E-2","N","Y","3","SomaScan only",FALSE
"Q9NS71","GKN1","OID20885","Gastrokine-1","15374_15",0.378605896234722,0.000304284475487886,0.000492879731457422,88,0.02,"0.51722106666955803","Y","N","3","Olink only",FALSE
"P00441","SOD1","OID20386","Superoxide dismutase [Cu-Zn]","2794_60",0.841353075600224,1.061430423071e-24,3.29218392210759e-24,88,0.6,"3.7235396610810499E-145","Y","N","3","Olink only",FALSE
"Q9UBR2","CTSZ","OID20365","Cathepsin Z","4971_1",0.68542848085661,0,0,88,0.71,"3.3852649979886298E-224","Y","Y","1","Both",FALSE
"P01137","TGFB1","OID20621","Transforming growth factor beta-1 proprotein","2333_72",0.53756472121447,1.10128955448564e-07,2.35930912146923e-07,88,0.23,"3.5431954093854202E-19","Y","N","3","Olink only",FALSE
"P42702","LIFR","OID20606","Leukemia inhibitory factor receptor","5837_49",0.112365894974591,0.617423189897032,0.663245272496432,22,0.37,"1.84501705412264E-46","Y","Y","2","Both",FALSE
"O75347","TBCA","OID30616","Tubulin-specific chaperone A","12501_10",0.879821070057413,0,0,88,0.05,"5.0588831584377103E-2","Y","N","3","Olink only",FALSE
"P01236","PRL","OID21033","Prolactin","2585_2",0.699701840808919,1.45409801451777e-09,3.60808056789134e-09,57,0.8,"0","N","N","3","None",FALSE
"Q96KG7","MEGF10","OID20746","Multiple epidermal growth factor-like domains protein 10","11168_3",0.745729280405763,0,0,88,-0.03,"0.230889254405133","Y","N","3","Olink only",FALSE
"P06733","ENO1","OID21037","Alpha-enolase","11105_171",0.836691204959318,0,0,88,0.66,"5.0524059402991299E-184","Y","Y","1","Both",FALSE
"P14174","MIF","OID21073","Macrophage migration inhibitory factor","8221_19",0.856732767426297,0,0,88,0.19,"1.5293925239318E-13","Y","Y","2","Both",FALSE
"Q8WXD2","SCG3","OID20728","Secretogranin-3","7957_2",0.734986439364588,0,0,88,0.7,"2.54850736047186E-208","Y","Y","1","Both",FALSE
"P51580","TPMT","OID21270","Thiopurine S-methyltransferase","11218_84",0.0476190476190476,0.934871031746032,0.946609322727596,8,0.37,"1.7495422244898899E-49","Y","N","3","Olink only",FALSE
"Q12884","FAP","OID20330","Prolyl endopeptidase FAP","5029_3",0.793467971671121,3.05018237961979e-20,9.20763611387898e-20,88,0.61,"1.2267129586692801E-149","Y","Y","1","Both",FALSE
"P50895","BCAM","OID21076","Basal cell adhesion molecule","2816_50",0.582984044239372,4.18171144044962e-09,9.9812943261472e-09,88,0.38,"3.7160137544980597E-52","Y","Y","2","Both",FALSE
"P03951","F11","OID30773","Coagulation factor XI","2190_55",0.643771986604046,1.32883790004782e-11,3.56355816901185e-11,88,0.66,"1.00041569489504E-171","Y","Y","1","Both",FALSE
"P09529","INHBB","OID30625","Inhibin beta B chain","13676_46",0.406316157816464,0.000535942775499402,0.000845082951869867,70,0.71,"1.03713265194372E-212","Y","Y","1","Both",FALSE
"P09529","INHBB","OID30625","Inhibin beta B chain","16746_12",0.406316157816464,0.000535942775499402,0.000845082951869867,70,-0.05,"5.3311937106062003E-2","Y","N","3","Olink only",FALSE
"P13693","TPT1","OID20476","Translationally-controlled tumor protein","3872_2",0.114807509422,0.28624206793593,0.331114031454575,88,0.21,"3.1780704299278901E-15","N","N","3","None",FALSE
"Q15485","FCN2","OID20382","Ficolin-2","13717_15",0.596685569370575,8.58976760324772e-10,2.17440529687594e-09,88,0.56,"1.26422542682854E-121","Y","Y","1","Both",FALSE
"Q15485","FCN2","OID20382","Ficolin-2","3313_21",0.596685569370575,8.58976760324772e-10,2.17440529687594e-09,88,0.37,"3.86866125501768E-48","Y","Y","2","Both",FALSE
"O14786","NRP1","OID20390","Neuropilin-1","5542_22",0.776141877226009,6.55630766004925e-19,1.96341415071501e-18,88,0.58,"2.8344697369564899E-133","Y","Y","1","Both",FALSE
"P07333","CSF1R","OID30681","Macrophage colony-stimulating factor 1 receptor","13682_47",0.769983313307951,1.8278744609607e-18,5.44504028080377e-18,88,0.74,"4.7475859012993399E-241","Y","Y","1","Both",TRUE
"P14384","CPM","OID21054","Carboxypeptidase M","9416_77",0.722852312352506,0,0,88,0.7,"4.75706602299291E-216","Y","Y","1","Both",FALSE
"P04406","GAPDH","OID30600","Glyceraldehyde-3-phosphate dehydrogenase","3848_14",0.373692367299496,0.000368226737634405,0.000592205109386386,88,0.14,"5.4244331274453897E-7","N","Y","3","SomaScan only",FALSE
"P17927","CR1","OID30697","Complement receptor type 1","19556_12",0.644502855237021,1.23865924073187e-11,3.32963400663401e-11,88,0.69,"4.9760350965736697E-195","Y","Y","1","Both",FALSE
"P04792","HSPB1","OID20230","Heat shock protein beta-1","11103_24",0.812951287379804,0,0,88,0.5,"1.00352709058724E-90","Y","Y","2","Both",FALSE
"Q9UBX1","CTSF","OID21500","Cathepsin F","9212_22",0.785935683843472,0,0,88,0.74,"4.4880853517866997E-250","Y","Y","1","Both",TRUE
"O00602","FCN1","OID30690","Ficolin-1","15582_25",0.683221281492311,2.23860649146187e-13,6.06087944570852e-13,88,0.34,"1.3102336018669701E-37","Y","Y","2","Both",FALSE
"P02776","PF4","OID30764","Platelet factor 4","2697_7",0.777464689514283,0,0,88,0.74,"6.0898399544045302E-235","Y","Y","1","Both",TRUE
"P46109","CRKL","OID20742","Crk-like protein","9877_28",0.831848120883379,0,0,88,0.8,"6.43807061782812e-319","N","Y","3","SomaScan only",TRUE
"Q9UBQ7","GRHPR","OID30289","Glyoxylate reductase/hydroxypyruvate reductase","18295_102",0.556848228450555,3.90559344587885e-06,7.32460963521133e-06,62,0.46,"1.38477402390165E-71","Y","Y","2","Both",FALSE
"Q03403","TFF2","OID20787","Trefoil factor 2","9191_8",0.823444036540596,0,0,52,0.78,"1.2363404553274101E-286","Y","Y","1","Both",TRUE
"P30740","SERPINB1","OID21088","Leukocyte elastase inhibitor","10737_96",0.91171899422793,5.57311520181083e-35,1.77741442453232e-34,88,0.28,"2.8521027111529499E-27","Y","Y","2","Both",FALSE
"O00241","SIRPB1","OID20739","Signal-regulatory protein beta-1","6247_9",0.539087777893748,4.3723043954287e-06,8.12246840091417e-06,66,0.46,"1.3975991817069401E-76","Y","Y","2","Both",FALSE
"Q9H3G5","CPVL","OID21435","Probable serine carboxypeptidase CPVL","8891_7",0.62505723644817,0,0,88,0,"0.98050588039623998","Y","N","3","Olink only",FALSE
"P37235","HPCAL1","OID20615","Hippocalcin-like protein 1","17791_25",0.710084181606847,0,0,88,0.53,"1.2419309549886999E-102","Y","Y","1","Both",FALSE
"Q16627","CCL14","OID20401","C-C motif chemokine 14","2900_53",0.588675058453182,1.61865456387746e-09,3.97274131003837e-09,88,0.64,"8.4855040351140396E-168","Y","Y","1","Both",FALSE
"Q9BUD6","SPON2","OID20221","Spondin-2","8099_42",0.702247191011236,0,0,88,0.62,"3.3534889803299401E-156","Y","Y","1","Both",FALSE
"P42785","PRCP","OID20337","Lysosomal Pro-X carboxypeptidase","5722_78",0.665404529604452,0,0,88,0.61,"1.64835846800456E-145","Y","Y","1","Both",FALSE
"P09467","FBP1","OID20227","Fructose-1,6-bisphosphatase 1","7206_20",0.51387763727942,4.59300898106649e-07,9.29302354771338e-07,88,0.49,"6.3634247063154504E-87","Y","Y","2","Both",FALSE
"P36959","GMPR","OID20641","GMP reductase 1","19254_125",0.717921172202459,0,0,88,0.4,"4.1722849482426803E-55","Y","Y","2","Both",FALSE
"Q9NZK5","ADA2","OID20394","Adenosine deaminase 2","6077_63",0.840261175473853,1.3913943196152e-24,4.30379229272757e-24,88,0.63,"3.3209687603025098E-159","Y","Y","1","Both",FALSE
"Q9UHI8","ADAMTS1","OID30528","A disintegrin and metalloproteinase with thrombospondin motifs 1","3174_2",0.287978584762777,0.00668528877126224,0.00949395097201895,88,-0.04,"0.118962649487852","Y","N","3","Olink only",FALSE
