"UniProt","Gene.Name","Description","OlinkID","Assay","Panel","Panel_Lot_Nr","PlateID","Analyzed.MS","Detected.MS","Perc.Missing.MS","Analyzed.Olink","Detected.Olink","Perc.Missing.Olink","Overlapping","Detected.Platform","In.HPA","In.HPA.Plasma","In.HPPP","In.Ref.Plasma.Proteome"
"P06132","UROD","Uroporphyrinogen decarboxylase","OID30603","UROD","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P07437","TUBB","Tubulin beta chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P08861","CELA3B","Chymotrypsin-like elastase family member 3B",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,FALSE,FALSE
"P07476","IVL","Involucrin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P26447","S100A4","Protein S100-A4","OID21519","S100A4","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P50395","GDI2","Rab GDP dissociation inhibitor beta",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P06744","GPI","Glucose-6-phosphate isomerase","OID30680","GPI","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P48643","CCT5","T-complex protein 1 subunit epsilon","OID21200","CCT5","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,1.13636363636364,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q14126","DSG2","Desmoglein-2","OID21113","DSG2","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q99574","SERPINI1","Neuroserpin","OID30604","SERPINI1","Inflammation II","B20704","Run123",TRUE,TRUE,52.2727272727273,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q93070","ART4","Ecto-ADP-ribosyltransferase 4",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P03950","ANG","Angiogenin","OID20403","ANG","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O43505","B4GAT1","Beta-1,4-glucuronyltransferase 1","OID21127","B4GAT1","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P08833","IGFBP1","Insulin-like growth factor-binding protein 1","OID20246","IGFBP1","Cardiometabolic","B04413","Run122",TRUE,TRUE,11.3636363636364,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O75503","CLN5","Ceroid-lipofuscinosis neuronal protein 5",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q08830","FGL1","Fibrinogen-like protein 1","OID30702","FGL1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P10645","CHGA","Chromogranin-A","OID30403","CHGA","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q09328","MGAT5","Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P67936-2","TPM4","Isoform 2 of Tropomyosin alpha-4 chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",FALSE,FALSE,FALSE,FALSE
"P07203","GPX1","Glutathione peroxidase 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9HBR0","SLC38A10","Putative sodium-coupled neutral amino acid transporter 10",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P49720","PSMB3","Proteasome subunit beta type-3",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P12104","FABP2","Fatty acid-binding protein, intestinal","OID20200","FABP2","Cardiometabolic","B04413","Run122",TRUE,TRUE,59.0909090909091,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P34096","RNASE4","Ribonuclease 4","OID30705","RNASE4","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P02745","C1QA","Complement C1q subcomponent subunit A","OID20654","C1QA","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P17900","GM2A","Ganglioside GM2 activator","OID30413","GM2A","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P13639","EEF2","Elongation factor 2",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P14780","MMP9","Matrix metalloproteinase-9","OID21103","MMP9","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q6UX71","PLXDC2","Plexin domain-containing protein 2","OID31101","PLXDC2","Neurology II","B20707","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q6WRI0","IGSF10","Immunoglobulin superfamily member 10",NA,NA,NA,NA,NA,TRUE,TRUE,71.5909090909091,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P36222","CHI3L1","Chitinase-3-like protein 1","OID20399","CHI3L1","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00966","ASS1","Argininosuccinate synthase","OID30170","ASS1","Cardiometabolic II","B20706","Run123",TRUE,TRUE,48.8636363636364,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P01591","JCHAIN","Immunoglobulin J chain","OID20494","JCHAIN","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,4.54545454545455,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9BYJ0","FGFBP2","Fibroblast growth factor-binding protein 2","OID30395","FGFBP2","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P55774","CCL18","C-C motif chemokine 18","OID20395","CCL18","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q13201","MMRN1","Multimerin-1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P22413","ENPP1","Ectonucleotide pyrophosphatase/phosphodiesterase family member 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P08758","ANXA5","Annexin A5","OID20810","ANXA5","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,4.54545454545455,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P11684","SCGB1A1","Uteroglobin","OID20688","SCGB1A1","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q14118","DAG1","Dystroglycan 1","OID20774","DAG1","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q7LGC8","CHST3","Carbohydrate sulfotransferase 3",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9UJC5","SH3BGRL2","SH3 domain-binding glutamic acid-rich-like protein 2","OID30863","SH3BGRL2","Neurology II","B20707","Run123",TRUE,TRUE,0,TRUE,TRUE,31.8181818181818,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P00738","HP","Haptoglobin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P01780","IGHV3-7","Immunoglobulin heavy variable 3-7",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q99972","MYOC","Myocilin","OID21121","MYOC","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P61106","RAB14","Ras-related protein Rab-14",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q02413","DSG1","Desmoglein-1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9UBX5","FBLN5","Fibulin-5",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"O60234","GMFG","Glia maturation factor gamma","OID30340","GMFG","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P22897","MRC1","Macrophage mannose receptor 1","OID30694","MRC1","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P48506","GCLC","Glutamate--cysteine ligase catalytic subunit",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q8WWZ8","OIT3","Oncoprotein-induced transcript 3 protein",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P14625","HSP90B1","Endoplasmin","OID20829","HSP90B1","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,82.9545454545455,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q3ZCW2","LGALSL","Galectin-related protein",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P40197","GP5","Platelet glycoprotein V","OID30611","GP5","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9UNN8","PROCR","Endothelial protein C receptor","OID30149","PROCR","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,38.6363636363636,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9H4B7","TUBB1","Tubulin beta-1 chain",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9UBP4","DKK3","Dickkopf-related protein 3","OID20264","DKK3","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P99999","CYCS","Cytochrome c",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q99969","RARRES2","Retinoic acid receptor responder protein 2","OID20373","RARRES2","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P63104","YWHAZ","14-3-3 protein zeta/delta",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"O43396","TXNL1","Thioredoxin-like protein 1","OID30872","TXNL1","Neurology II","B20707","Run123",TRUE,TRUE,0,TRUE,TRUE,88.6363636363636,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P07602","PSAP","Prosaposin","OID30419","PSAP","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O14980","XPO1","Exportin-1",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P04075","ALDOA","Fructose-bisphosphate aldolase A",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q8NCC3","PLA2G15","Phospholipase A2 group XV","OID21473","PLA2G15","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P10720","PF4V1","Platelet factor 4 variant",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,FALSE,TRUE
"Q9H299","SH3BGRL3","SH3 domain-binding glutamic acid-rich-like protein 3",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q92626","PXDN","Peroxidasin homolog",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q03591","CFHR1","Complement factor H-related protein 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"O95810","CAVIN2","Caveolae-associated protein 2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"O00151","PDLIM1","PDZ and LIM domain protein 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P35590","TIE1","Tyrosine-protein kinase receptor Tie-1","OID20303","TIE1","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q13449","LSAMP","Limbic system-associated membrane protein",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q96J42","TXNDC15","Thioredoxin domain-containing protein 15","OID21495","TXNDC15","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q7Z7M8","B3GNT8","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"A0A0C4DH67","IGKV1-8","Immunoglobulin kappa variable 1-8",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9BXX0","EMILIN2","EMILIN-2",NA,NA,NA,NA,NA,TRUE,TRUE,54.5454545454545,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P08294","SOD3","Extracellular superoxide dismutase [Cu-Zn]","OID30683","SOD3","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9UKK9","NUDT5","ADP-sugar pyrophosphatase","OID21115","NUDT5","Neurology","B04414","Run122",TRUE,TRUE,11.3636363636364,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P61626","LYZ","Lysozyme C",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"O15031","PLXNB2","Plexin-B2","OID20317","PLXNB2","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9NP84","TNFRSF12A","Tumor necrosis factor receptor superfamily member 12A","OID21482","TNFRSF12A","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,54.5454545454545,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P12111-4","COL6A3","Isoform 4 of Collagen alpha-3(VI) chain",NA,NA,NA,NA,NA,TRUE,TRUE,25,FALSE,FALSE,NA,FALSE,"MS",FALSE,FALSE,FALSE,FALSE
"Q8TDY8","IGDCC4","Immunoglobulin superfamily DCC subclass member 4","OID30402","IGDCC4","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P31151","S100A7","Protein S100-A7",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,FALSE,FALSE
"O75976","CPD","Carboxypeptidase D",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q07960","ARHGAP1","Rho GTPase-activating protein 1","OID21202","ARHGAP1","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q01995","TAGLN","Transgelin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P12814","ACTN1","Alpha-actinin-1",NA,NA,NA,NA,NA,TRUE,TRUE,34.0909090909091,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q14019","COTL1","Coactosin-like protein",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9NSC7","ST6GALNAC1","Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q8NCL4","GALNT6","Polypeptide N-acetylgalactosaminyltransferase 6",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P17980","PSMC3","26S proteasome regulatory subunit 6A","OID31200","PSMC3","Oncology II","B20705","Run123",TRUE,TRUE,14.7727272727273,TRUE,TRUE,94.3181818181818,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P16035","TIMP2","Metalloproteinase inhibitor 2","OID30318","TIMP2","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9NZT1","CALML5","Calmodulin-like protein 5",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P16581","SELE","E-selectin","OID20290","SELE","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q6Q788","APOA5","Apolipoprotein A-V",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q92673","SORL1","Sortilin-related receptor",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q14165","MLEC","Malectin",NA,NA,NA,NA,NA,TRUE,TRUE,27.2727272727273,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P27930","IL1R2","Interleukin-1 receptor type 2","OID20757","IL1R2","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O95897","OLFM2","Noelin-2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q92484","SMPDL3A","Acid sphingomyelinase-like phosphodiesterase 3a","OID20676","SMPDL3A","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P11047","LAMC1","Laminin subunit gamma-1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q9Y4L1","HYOU1","Hypoxia up-regulated protein 1","OID20300","HYOU1","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q96MK3","FAM20A","Pseudokinase FAM20A","OID30348","FAM20A","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q16880","UGT8","2-hydroxyacylsphingosine 1-beta-galactosyltransferase",NA,NA,NA,NA,NA,TRUE,TRUE,28.4090909090909,FALSE,FALSE,NA,FALSE,"MS",TRUE,FALSE,FALSE,FALSE
"Q13200","PSMD2","26S proteasome non-ATPase regulatory subunit 2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"A0A1B0GTC6","C3orf85","Uncharacterized protein C3orf85",NA,NA,NA,NA,NA,TRUE,TRUE,80.6818181818182,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q92743","HTRA1","Serine protease HTRA1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P11142","HSPA8","Heat shock cognate 71 kDa protein",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"O75629","CREG1","Protein CREG1","OID21515","CREG1","Oncology","B04412","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q8NBF2","NHLRC2","NHL repeat-containing protein 2",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P16444","DPEP1","Dipeptidase 1","OID20897","DPEP1","Neurology","B04414","Run122",TRUE,TRUE,11.3636363636364,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"O14960","LECT2","Leukocyte cell-derived chemotaxin-2","OID30320","LECT2","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q96EG1","ARSG","Arylsulfatase G",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q96FW1","OTUB1","Ubiquitin thioesterase OTUB1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P01721","IGLV6-57","Immunoglobulin lambda variable 6-57",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P35247","SFTPD","Pulmonary surfactant-associated protein D","OID20214","SFTPD","Cardiometabolic","B04413","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q04721","NOTCH2","Neurogenic locus notch homolog protein 2","OID30407","NOTCH2","Cardiometabolic II","B20706","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P62258","YWHAE","14-3-3 protein epsilon",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q15465","SHH","Sonic hedgehog protein","OID30516","SHH","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,97.7272727272727,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P55268","LAMB2","Laminin subunit beta-2",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P24387","CRHBP","Corticotropin-releasing factor-binding protein","OID20747","CRHBP","Inflammation","B04411","Run122_-_INFONC",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P18850","ATF6","Cyclic AMP-dependent transcription factor ATF-6 alpha",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P17301","ITGA2","Integrin alpha-2","OID30570","ITGA2","Inflammation II","B20704","Run123",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P30086","PEBP1","Phosphatidylethanolamine-binding protein 1","OID21087","PEBP1","Neurology","B04414","Run122",TRUE,TRUE,0,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q9NRB3","CHST12","Carbohydrate sulfotransferase 12",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"Q99674","CGREF1","Cell growth regulator with EF hand domain protein 1","OID20152","CGREF1","Cardiometabolic","B04413","Run122",TRUE,TRUE,13.6363636363636,TRUE,TRUE,0,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"Q96DG6","CMBL","Carboxymethylenebutenolidase homolog",NA,NA,NA,NA,NA,TRUE,TRUE,57.9545454545455,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"O75083","WDR1","WD repeat-containing protein 1",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
"P23435","CBLN1","Cerebellin-1","OID30851","CBLN1","Neurology II","B20707","Run123",TRUE,TRUE,15.9090909090909,TRUE,TRUE,79.5454545454545,TRUE,"Both",TRUE,TRUE,TRUE,TRUE
"P06396-2","GSN","Isoform 2 of Gelsolin",NA,NA,NA,NA,NA,TRUE,TRUE,0,FALSE,FALSE,NA,FALSE,"MS",FALSE,FALSE,FALSE,FALSE
"Q9Y617","PSAT1","Phosphoserine aminotransferase",NA,NA,NA,NA,NA,TRUE,TRUE,13.6363636363636,FALSE,FALSE,NA,FALSE,"MS",TRUE,TRUE,TRUE,TRUE
