biosequence_name,biosequence_accession,biosequence_gene_name,is_covering,pct_coverage,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,n_distinct_synpeptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name
Q9UP79,Q9UP79,,C,,canonical,0.999,0.000,4553,2.461,40,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=A disintegrin and metalloproteinase with thrombospondin motifs 8 isoform Iso 1 \GName=ADAMTS8 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=889 \SV=2 \EV=189 \PE=1 \ModResPsi=(294|MOD:00798|half cystine)(347|MOD:00798|half cystine)(323|MOD:00,Homo sapiens
Q9UP52,Q9UP52,,C,,canonical,0.999,0.000,269,0.165,7,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Transferrin receptor protein 2 isoform Alpha \GName=TFR2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=801 \SV=1 \EV=181 \PE=1 \ModResPsi=(108|MOD:00798|half cystine)(108|MOD:00798|half cystine)(111|MOD:00798|half cystine)(111|MOD:00798|half,Homo sapiens
Q9UNZ2,Q9UNZ2,,C,,canonical,0.999,0.000,669,0.690,30,,,,,,,,,Q9UNZ2,4130,43,,,,nP20K \PName=NSFL1 cofactor p47 isoform Iso 1 \GName=NSFL1C \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=370 \SV=2 \EV=195 \PE=1 \ModResPsi=(54|MOD:00046|O-phospho-L-serine)(59|MOD:00046|O-phospho-L-serine)(60|MOD:00046|O-phospho-L-serine)(73|MOD:00047|O,Homo sapiens
Q9UNW1,Q9UNW1,,C,,canonical,1.000,0.000,15557,13.081,132,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Multiple inositol polyphosphate phosphatase 1 isoform Iso 1 \GName=MINPP1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=487 \SV=1 \EV=179 \PE=1 \ModRes=(42||O-linked (GalNAc...) serine)(242||N-linked (GlcNAc...) asparagine)(481||N-linked (Glc,Homo sapiens
Q9UNS2,Q9UNS2,,C,,canonical,0.999,0.000,32,0.029,9,,,,,,,,,Q9UNS2,4128,25,,,,nP20K \PName=COP9 signalosome complex subunit 3 isoform Iso 1 \GName=COPS3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=423 \SV=3 \EV=190 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(30|MOD:00134|N6-glycyl-L-lysine)(125|MOD:00134|N6-glycyl-L-lysine),Homo sapiens
Q9UNP9,Q9UNP9,,C,,canonical,1.000,0.000,887,1.119,8,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Peptidyl-prolyl cis-trans isomerase E isoform A \GName=PPIE \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=301 \SV=1 \EV=210 \PE=1 \ModResPsi=(91|MOD:00046|O-phospho-L-serine)(92|MOD:00046|O-phospho-L-serine)(97|MOD:00046|O-phospho-L-serine)(1,Homo sapiens
Q9UNN8,Q9UNN8,,C,,canonical,1.000,0.000,18783,38.766,34,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Endothelial protein C receptor isoform Iso 1 \GName=PROCR \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=238 \SV=1 \EV=190 \PE=1 \ModResPsi=(118|MOD:00798|half cystine)(186|MOD:00798|half cystine) \ModRes=(47||N-linked (GlcNAc...) asparagine)(,Homo sapiens
Q9UNN5,Q9UNN5,,C,,canonical,0.999,0.000,14,0.011,5,,,,,,,,,Q9UNN5,4126,11,,,,nP20K \PName=FAS-associated factor 1 isoform Long \GName=FAF1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=650 \SV=2 \EV=196 \PE=1 \ModResPsi=(139|MOD:00134|N6-glycyl-L-lysine)(143|MOD:00134|N6-glycyl-L-lysine)(146|MOD:00134|N6-glycyl-L-lysine)(157|MOD:0,Homo sapiens
Q9UNM6,Q9UNM6,,C,,canonical,0.999,0.000,34,0.030,10,,,,,,,,,Q9UNM6,4125,21,,,,nP20K \PName=26S proteasome non-ATPase regulatory subunit 13 isoform Iso 1 \GName=PSMD13 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=376 \SV=2 \EV=193 \PE=1 \ModResPsi=(2|MOD:00134|N6-glycyl-L-lysine)(99|MOD:00134|N6-glycyl-L-lysine)(115|MOD:00134|N6-gl,Homo sapiens
Q9UNH7,Q9UNH7,,C,,canonical,0.999,0.000,24,0.025,6,,,,,,,,,Q9UNH7,4122,20,,,,nP20K \PName=Sorting nexin-6 isoform Iso 1 \GName=SNX6 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=406 \SV=1 \EV=189 \PE=1 \ModResPsi=(1|MOD:00058|N-acetyl-L-methionine)(2|MOD:00058|N-acetyl-L-methionine)(60|MOD:00134|N6-glycyl-L-lysine)(116|MOD:00046|O,Homo sapiens
Q9UNF1,Q9UNF1,,C,,canonical,0.999,0.000,24,0.018,9,,,,,,,,,Q9UNF1,4120,18,,,,nP20K \PName=Melanoma-associated antigen D2 isoform Iso 1 \GName=MAGED2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=606 \SV=2 \EV=185 \PE=1 \ModResPsi=(2|MOD:00060|N-acetyl-L-serine)(2|MOD:00046|O-phospho-L-serine)(5|MOD:00046|O-phospho-L-serine)(23|MOD,Homo sapiens
Q9UNF0,Q9UNF0,,C,,canonical,0.999,0.000,396,0.360,26,,,,,,,,,Q9UNF0,4119,19,,,,nP20K \PName=Protein kinase C and casein kinase substrate in neurons protein 2 isoform Iso 1 \GName=PACSIN2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=486 \SV=2 \EV=192 \PE=1 \ModResPsi=(53|MOD:00064|N6-acetyl-L-lysine)(264|MOD:00134|N6-glycyl-L-lysine,Homo sapiens
Q9UNA0,Q9UNA0,,C,,canonical,0.999,0.000,13,0.005,4,,,,,,,,,Q9UNA0,4118,4,,,,nP20K \PName=A disintegrin and metalloproteinase with thrombospondin motifs 5 isoform Iso 1 \GName=ADAMTS5 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=930 \SV=2 \EV=203 \PE=1 \ModResPsi=(342|MOD:00798|half cystine)(394|MOD:00798|half cystine)(371|MOD:00,Homo sapiens
Q9UN86,Q9UN86,,C,,canonical,0.999,0.000,16,0.015,6,,,,,,,,,Q13283,2277,63,,,,nP20K \PName=Ras GTPase-activating protein-binding protein 2 isoform A \GName=G3BP2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=482 \SV=2 \EV=208 \PE=1 \ModResPsi=(25|MOD:00134|N6-glycyl-L-lysine)(67|MOD:00046|O-phospho-L-serine)(76|MOD:00134|N6-glycyl-,Homo sapiens
Q9UN70,Q9UN70,,C,,canonical,0.999,0.000,371,0.187,25,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Protocadherin gamma-C3 isoform Iso 1 \GName=PCDHGC3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=934 \SV=1 \EV=179 \PE=1 \ModResPsi=(741|MOD:00046|O-phospho-L-serine)(780|MOD:00046|O-phospho-L-serine)(784|MOD:00046|O-phospho-L-serine) \ModRe,Homo sapiens
Q9UN42,Q9UN42,,C,,canonical,0.998,0.000,3,0.004,2,,,,,,,,,Q9UN42,4117,5,,,,nP20K \PName=Protein ATP1B4 isoform A \GName=ATP1B4 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=357 \SV=1 \EV=166 \PE=1 \ModResPsi=(12|MOD:00046|O-phospho-L-serine) \VariantSimple=(1|R)(6|L)(6|Q)(6|W)(7|F)(8|T)(9|K)(9|S)(11|L)(14|S)(16|I)(18|C)(18|H)(21,Homo sapiens
Q9UN36,Q9UN36,,C,,canonical,0.999,0.000,76,0.101,16,,,,,,,,,Q9UN36,4116,66,,,,nP20K \PName=Protein NDRG2 isoform Iso 1 \GName=NDRG2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=371 \SV=2 \EV=180 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(20|MOD:00047|O-phospho-L-threonine)(47|MOD:00048|O4'-phospho-L-tyrosine)(49|MOD:00046|O,Homo sapiens
Q9UN19,Q9UN19,,C,,canonical,0.999,0.000,52,0.069,10,,,,,,,,,Q9UN19,4115,10,,,,nP20K \PName=Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide isoform Iso 1 \GName=DAPP1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=280 \SV=1 \EV=175 \PE=1 \ModResPsi=(137|MOD:00046|O-phospho-L-serine)(139|MOD:00048|O4'-pho,Homo sapiens
Q9UMY4,Q9UMY4,,C,,canonical,0.999,0.000,68,0.154,11,,,,,,,,,Q9UMY4,4114,36,,,,nP20K \PName=Sorting nexin-12 isoform Iso 2 \GName=SNX12 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=162 \SV=4 \EV=189 \PE=1 \ModResPsi=(2|MOD:00060|N-acetyl-L-serine)(14|MOD:00046|O-phospho-L-serine)(20|MOD:00047|O-phospho-L-threonine)(23|MOD:00048|O4',Homo sapiens
Q9UMX5,Q9UMX5,,C,,canonical,0.999,0.000,723,1.492,16,,,,,,,,,Q9UMX5,4113,22,,,,nP20K \PName=Neudesin isoform Iso 1 \GName=NENF \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=172 \SV=1 \EV=146 \PE=1 \ModResPsi=(79|MOD:00134|N6-glycyl-L-lysine)(136|MOD:00064|N6-acetyl-L-lysine) \ModRes=(48||O-linked (GalNAc...) threonine)(76||O-linked,Homo sapiens
Q9UMX0,Q9UMX0,,C,,canonical,0.999,0.000,183,0.219,12,,,,,,,,,Q9UMX0,4112,23,,,,nP20K \PName=Ubiquilin-1 isoform Iso 1 \GName=UBQLN1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=589 \SV=2 \EV=204 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(7|MOD:00046|O-phospho-L-serine)(13|MOD:00046|O-phospho-L-serine)(16|MOD:00046|O-phospho-,Homo sapiens
Q9UMS6,Q9UMS6,,C,,canonical,0.999,0.000,7,0.003,3,,,,,,,,,Q9UMS6,4111,9,,,,nP20K \PName=Synaptopodin-2 isoform Iso 1 \GName=SYNPO2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1093 \SV=2 \EV=170 \PE=1 \ModResPsi=(3|MOD:00047|O-phospho-L-threonine)(89|MOD:00046|O-phospho-L-serine)(92|MOD:00046|O-phospho-L-serine)(148|MOD:00046|O,Homo sapiens
Q9UMS4,Q9UMS4,,C,,canonical,1.000,0.000,21,0.022,10,,,,,,,,,Q9UMS4,4110,5,,,,nP20K \PName=Pre-mRNA-processing factor 19 isoform Iso 1 \GName=PRPF19 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=504 \SV=1 \EV=198 \PE=1 \ModResPsi=(2|MOD:00060|N-acetyl-L-serine)(8|MOD:00046|O-phospho-L-serine)(122|MOD:00064|N6-acetyl-L-lysine)(179|M,Homo sapiens
Q9UMF0,Q9UMF0,,C,,canonical,0.999,0.000,365,0.184,18,,,,,,,,,Q9UMF0,4109,21,,,,nP20K \PName=Intercellular adhesion molecule 5 isoform Iso 1 \GName=ICAM5 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=924 \SV=3 \EV=183 \PE=1 \ModResPsi=(55|MOD:00798|half cystine)(99|MOD:00798|half cystine)(59|MOD:00798|half cystine)(103|MOD:00798|half,Homo sapiens
Q9UMD9,Q9UMD9,,C,,canonical,0.999,0.000,20,0.007,5,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Collagen alpha-1(XVII) chain isoform Iso 1 \GName=COL17A1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1497 \SV=3 \EV=189 \PE=1 \ModResPsi=(61|MOD:00046|O-phospho-L-serine)(62|MOD:00046|O-phospho-L-serine)(64|MOD:00048|O4'-phospho-L-tyrosine,Homo sapiens
Q9UM47,Q9UM47,,C,,canonical,1.000,0.000,4603,1.045,72,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Neurogenic locus notch homolog protein 3 isoform Iso 1 \GName=NOTCH3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=2321 \SV=2 \EV=220 \PE=1 \ModResPsi=(43|MOD:00798|half cystine)(55|MOD:00798|half cystine)(49|MOD:00798|half cystine)(65|MOD:00,Homo sapiens
Q9UM07,Q9UM07,,C,,canonical,0.999,0.000,22,0.017,9,,,,,,,,,Q9UM07,4108,21,,,,nP20K \PName=Protein-arginine deiminase type-4 isoform Iso 1 \GName=PADI4 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=663 \SV=2 \EV=194 \PE=1 \ModResPsi=(205|MOD:00219|L-citrulline)(212|MOD:00219|L-citrulline)(218|MOD:00219|L-citrulline)(372|MOD:00219|L,Homo sapiens
Q9ULZ3,Q9ULZ3,,C,,canonical,0.999,0.000,105,0.217,8,,,,,,,,,Q9ULZ3,4107,6,,,,nP20K \PName=Apoptosis-associated speck-like protein containing a CARD isoform Iso 1 \GName=PYCARD \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=195 \SV=2 \EV=208 \PE=1 \ModResPsi=(46|MOD:00046|O-phospho-L-serine)(109|MOD:00134|N6-glycyl-L-lysine)(146|MOD,Homo sapiens
Q9ULV4,Q9ULV4,,C,,canonical,1.000,0.000,2086,1.973,55,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Coronin-1C isoform Iso 1 \GName=CORO1C \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=474 \SV=1 \EV=198 \PE=1 \ModResPsi=(187|MOD:00046|O-phospho-L-serine)(301|MOD:00048|O4'-phospho-L-tyrosine)(311|MOD:00134|N6-glycyl-L-lysine)(391|MOD:00134|N,Homo sapiens
Q9ULL4,Q9ULL4,,C,,canonical,0.999,0.000,128,0.034,8,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Plexin-B3 isoform Iso 1 \GName=PLXNB3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1909 \SV=2 \EV=173 \PE=1 \ModResPsi=(98|MOD:00798|half cystine)(107|MOD:00798|half cystine)(132|MOD:00798|half cystine)(140|MOD:00798|half cystine)(267|MOD:00,Homo sapiens
Q9ULI3,Q9ULI3,,C,,canonical,0.999,0.000,21040,7.831,141,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Protein HEG homolog 1 isoform Iso 1 \GName=HEG1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1381 \SV=3 \EV=154 \PE=1 \ModResPsi=(303|MOD:00046|O-phospho-L-serine)(304|MOD:00046|O-phospho-L-serine)(305|MOD:00046|O-phospho-L-serine)(306|MOD:0,Homo sapiens
Q9ULH1,Q9ULH1,,C,,canonical,0.999,0.000,19,0.008,12,,,,,,,,,O43150,640,83,,,,"nP20K \PName=Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 isoform Iso 2 \GName=ASAP1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1129 \SV=4 \EV=201 \PE=1 \ModResPsi=(307|MOD:00046|O-phospho-L-serine)(428|MOD:00046|O-phospho-L-s",Homo sapiens
Q9ULF5,Q9ULF5,,C,,canonical,0.999,0.000,53,0.034,6,,,,,,,,,Q9ULF5,4102,19,,,,nP20K \PName=Zinc transporter ZIP10 isoform Iso 1 \GName=SLC39A10 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=831 \SV=2 \EV=149 \PE=1 \ModResPsi=(50|MOD:00134|N6-glycyl-L-lysine)(66|MOD:00134|N6-glycyl-L-lysine)(533|MOD:00134|N6-glycyl-L-lysine)(536|MOD,Homo sapiens
Q9ULC4,Q9ULC4,,C,,canonical,0.999,0.000,67,0.152,10,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Malignant T-cell-amplified sequence 1 isoform Iso 1 \GName=MCTS1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=181 \SV=1 \EV=173 \PE=1 \ModResPsi=(81|MOD:00047|O-phospho-L-threonine)(118|MOD:00046|O-phospho-L-serine) \VariantSimple=(4|R)(6|G),Homo sapiens
Q9ULC0,Q9ULC0,,C,,canonical,0.998,0.000,80,0.140,2,,,,,,,,,Q9ULC0,4101,6,,,,nP20K \PName=Endomucin isoform Iso 1 \GName=EMCN \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=261 \SV=2 \EV=151 \PE=1 \ModResPsi=(237|MOD:00046|O-phospho-L-serine) \ModRes=(19||N-linked (GlcNAc...) asparagine)(28||N-linked (GlcNAc...) asparagine)(98||N-l,Homo sapiens
Q9ULB1,Q9ULB1,,C,,canonical,0.999,0.000,594,0.195,58,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Neurexin-1 isoform 1a \GName=NRXN1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1477 \SV=1 \EV=211 \PE=1 \ModResPsi=(228|MOD:00798|half cystine)(243|MOD:00798|half cystine)(245|MOD:00798|half cystine)(255|MOD:00798|half cystine)(437|MOD:0079,Homo sapiens
Q9ULA0,Q9ULA0,,C,,canonical,0.999,0.000,873,0.762,20,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Aspartyl aminopeptidase isoform Iso 1 \GName=DNPEP \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=485 \SV=2 \EV=188 \PE=1 \ModResPsi=(40|MOD:00046|O-phospho-L-serine)(203|MOD:00047|O-phospho-L-threonine)(213|MOD:00047|O-phospho-L-threonine) \V,Homo sapiens
Q9UL46,Q9UL46,,C,,canonical,0.999,0.000,746,1.129,22,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Proteasome activator complex subunit 2 isoform Iso 1 \GName=PSME2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=239 \SV=4 \EV=197 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(10|MOD:00046|O-phospho-L-serine)(15|MOD:00134|N6-glycyl-L-lysi,Homo sapiens
Q9UL25,Q9UL25,,C,,canonical,0.999,0.000,17,0.030,6,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Ras-related protein Rab-21 isoform Iso 1 \GName=RAB21 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=225 \SV=3 \EV=202 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(51|MOD:00047|O-phospho-L-threonine)(55|MOD:00046|O-phospho-L-serine)(149|M,Homo sapiens
Q9UL12,Q9UL12,,C,,canonical,0.999,0.000,80,0.036,37,,,,,,,,,Q9UL12,4099,24,,,,"nP20K \PName=Sarcosine dehydrogenase, mitochondrial isoform Iso 1 \GName=SARDH \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=918 \SV=1 \EV=164 \PE=1 \ModResPsi=(38|MOD:01819|N6-succinyl-L-lysine)(108|MOD:00226|1'-(8alpha-FAD)-L-histidine)(173|MOD:00064|N6",Homo sapiens
Q9UKZ9,Q9UKZ9,,C,,canonical,1.000,0.000,279,0.302,20,,,,,,,,,Q9UKZ9,4098,26,,,,nP20K \PName=Procollagen C-endopeptidase enhancer 2 isoform Iso 1 \GName=PCOLCE2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=415 \SV=1 \EV=156 \PE=1 \ModResPsi=(33|MOD:00798|half cystine)(59|MOD:00798|half cystine)(86|MOD:00798|half cystine)(107|MOD:007,Homo sapiens
Q9UKY7,Q9UKY7,,C,,canonical,0.999,0.000,153,0.289,23,,,,,,,,,Q9UKY7,4097,27,,,,nP20K \PName=Protein CDV3 homolog isoform Iso 1 \GName=CDV3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=258 \SV=1 \EV=132 \PE=1 \ModResPsi=(2|MOD:00050|N-acetyl-L-alanine)(4|MOD:00047|O-phospho-L-threonine)(8|MOD:00046|O-phospho-L-serine)(15|MOD:00064|N,Homo sapiens
Q9UKX5,Q9UKX5,,C,,canonical,1.000,0.000,68,0.025,21,,,,,,,,,Q9UKX5,4094,13,,,,nP20K \PName=Integrin alpha-11 isoform Iso 1 \GName=ITGA11 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1188 \SV=2 \EV=194 \PE=1 \ModResPsi=(76|MOD:00798|half cystine)(83|MOD:00798|half cystine)(121|MOD:00798|half cystine)(139|MOD:00798|half cystine)(129,Homo sapiens
Q9UKX3,Q9UKX3,,C,,canonical,1.000,0.000,3297,0.720,111,,,,,,,,,P04114,1033,64541,,,,"nP20K \PName=Myosin-13 isoform Iso 1 \GName=MYH13 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1938 \SV=2 \EV=190 \PE=1 \ModResPsi=(130|MOD:00083|N6,N6,N6-trimethyl-L-lysine)(1203|MOD:00046|O-phospho-L-serine)(1636|MOD:00046|O-phospho-L-serine) \VariantS",Homo sapiens
Q9UKX2,Q9UKX2,,C,,canonical,1.000,0.000,5314,1.171,249,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Myosin-2 isoform Iso 1 \GName=MYH2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1941 \SV=1 \EV=203 \PE=1 \ModResPsi=(51|MOD:00047|O-phospho-L-threonine)(64|MOD:00047|O-phospho-L-threonine)(69|MOD:00047|O-phospho-L-threonine)(71|MOD:00047|O-p,Homo sapiens
Q9UKV8,Q9UKV8,,C,,canonical,0.999,0.000,26,0.012,9,,,,,,,,,Q9UKV8,4093,40,,,,nP20K \PName=Protein argonaute-2 isoform Iso 1 \GName=AGO2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=859 \SV=3 \EV=203 \PE=1 \ModResPsi=(2|MOD:01786|3'-nitro-L-tyrosine)(385|MOD:00046|O-phospho-L-serine)(387|MOD:00046|O-phospho-L-serine)(550|MOD:00134,Homo sapiens
Q9UKV3,Q9UKV3,,C,,canonical,0.999,0.000,11,0.004,8,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Apoptotic chromatin condensation inducer in the nucleus isoform Iso 1 \GName=ACIN1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1341 \SV=2 \EV=203 \PE=1 \ModResPsi=(103|MOD:00134|N6-glycyl-L-lysine)(115|MOD:00046|O-phospho-L-serine)(116|MOD:,Homo sapiens
Q9UKU9,Q9UKU9,,C,,canonical,0.999,0.000,481,0.352,30,,,,,,,,,Q8NI99,3113,13,,,,nP20K \PName=Angiopoietin-related protein 2 isoform Iso 1 \GName=ANGPTL2 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=493 \SV=1 \EV=177 \PE=1 \ModResPsi=(73|MOD:00046|O-phospho-L-serine)(278|MOD:00798|half cystine)(307|MOD:00798|half cystine)(430|MOD:007,Homo sapiens
Q9UKU6,Q9UKU6,,C,,canonical,1.000,0.000,986,0.415,68,,,,,,,,,Q9UKU6,4092,38,,,,nP20K \PName=Thyrotropin-releasing hormone-degrading ectoenzyme isoform Iso 1 \GName=TRHDE \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1024 \SV=1 \EV=179 \PE=1 \ModResPsi=(68|MOD:00798|half cystine)(68|MOD:00798|half cystine) \ModRes=(89||N-linked (GlcN,Homo sapiens
Q9UKS6,Q9UKS6,,C,,canonical,0.999,0.000,6,0.006,3,,,,,,,,,Q9UKS6,4091,13,,,,nP20K \PName=Protein kinase C and casein kinase substrate in neurons protein 3 isoform Iso 1 \GName=PACSIN3 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=424 \SV=2 \EV=183 \PE=1 \ModResPsi=(178|MOD:00046|O-phospho-L-serine)(276|MOD:00046|O-phospho-L-serin,Homo sapiens
Q9UKR3,Q9UKR3,,C,,canonical,1.000,0.000,878,1.424,9,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Kallikrein-13 isoform Iso 1 \GName=KLK13 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=277 \SV=1 \EV=180 \PE=1 \ModResPsi=(42|MOD:00798|half cystine)(178|MOD:00798|half cystine)(61|MOD:00798|half cystine)(77|MOD:00798|half cystine)(157|MOD:00,Homo sapiens
Q9UKM9,Q9UKM9,,C,,canonical,0.999,0.000,10,0.013,6,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=RNA-binding protein Raly isoform Iso 2 \GName=RALY \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=306 \SV=1 \EV=199 \PE=1 \ModResPsi=(2|MOD:00060|N-acetyl-L-serine)(4|MOD:00134|N6-glycyl-L-lysine)(4|MOD:00134|N6-glycyl-L-lysine)(44|MOD:00134|N,Homo sapiens
Q9UKM7,Q9UKM7,,C,,canonical,0.999,0.000,153,0.099,21,,,,,,,,,Q9UKM7,4089,45,,,,"nP20K \PName=Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase isoform Iso 1 \GName=MAN1B1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=699 \SV=2 \EV=206 \PE=1 \ModResPsi=(9|MOD:00046|O-phospho-L-serine)(21|MOD:00047|O-phospho-L-threon",Homo sapiens
Q9UKK9,Q9UKK9,,C,,canonical,0.999,0.000,288,0.594,13,,,,,,,,,Q9UKK9,4087,27,,,,nP20K \PName=ADP-sugar pyrophosphatase isoform Iso 1 \GName=NUDT5 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=219 \SV=1 \EV=191 \PE=1 \ModResPsi=(1|MOD:00058|N-acetyl-L-methionine)(3|MOD:00046|O-phospho-L-serine)(7|MOD:00047|O-phospho-L-threonine)(9|MOD,Homo sapiens
Q9UKJ1,Q9UKJ1,,C,,canonical,0.999,0.000,341,0.553,12,,,,,,,,,P04114,1033,64541,,,,nP20K \PName=Paired immunoglobulin-like type 2 receptor alpha isoform Iso 1 \GName=PILRA \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=303 \SV=3 \EV=167 \PE=1 \ModRes=(100||N-linked (GlcNAc...) asparagine) \VariantSimple=(3|L)(3|Q)(3|W)(4|S)(6|P)(8|A)(8|L,Homo sapiens
Q9UKG1,Q9UKG1,,C,,canonical,0.999,0.000,21,0.013,8,,,,,,,,,Q9UKG1,4086,10,,,,nP20K \PName=DCC-interacting protein 13-alpha isoform Iso 1 \GName=APPL1 \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=709 \SV=1 \EV=182 \PE=1 \ModResPsi=(16|MOD:00046|O-phospho-L-serine)(63|MOD:00134|N6-glycyl-L-lysine)(66|MOD:00134|N6-glycyl-L-lysine)(3,Homo sapiens
Q9UKE5,Q9UKE5,,C,,canonical,0.999,0.000,72,0.024,21,,,,,,,,,Q9UKE5,4083,168,,,,nP20K \PName=TRAF2 and NCK-interacting protein kinase isoform Iso 1 \GName=TNIK \NcbiTaxId=9606 \TaxName=Homo Sapiens \Length=1360 \SV=1 \EV=208 \PE=1 \ModResPsi=(187|MOD:00047|O-phospho-L-threonine)(191|MOD:00047|O-phospho-L-threonine)(324|MOD:00046|O-ph,Homo sapiens
