"Platform","UniProt","Gene.Name","Description","Assay","OlinkID","Panel","Technical.CV","Analyzed"
"MS","P05120","SERPINB2","Plasminogen activator inhibitor 2",NA,NA,NA,11.9386820530245,TRUE
"MS","P05121","SERPINE1","Plasminogen activator inhibitor 1","SERPINE1","OID20342","Cardiometabolic",8.46092343945853,TRUE
"MS","P05154","SERPINA5","Plasma serine protease inhibitor","SERPINA5","OID30763","Inflammation II",4.82907444309196,TRUE
"MS","P05155","SERPING1","Plasma protease C1 inhibitor","SERPING1","OID30777","Inflammation II",2.92350582429908,TRUE
"MS","P05156","CFI","Complement factor I","CFI","OID30772","Inflammation II",1.07846829682517,TRUE
"MS","P05160","F13B","Coagulation factor XIII B chain","F13B","OID30781","Inflammation II",1.0640143813091,TRUE
"MS","P05161","ISG15","Ubiquitin-like protein ISG15",NA,NA,NA,NA,FALSE
"MS","P05164","MPO","Myeloperoxidase","MPO","OID21100","Neurology",3.43974772148137,TRUE
"MS","P05186","ALPL","Alkaline phosphatase, tissue-nonspecific isozyme",NA,NA,NA,4.05047325424663,TRUE
"MS","P05198","EIF2S1","Eukaryotic translation initiation factor 2 subunit 1",NA,NA,NA,3.48461369388245,TRUE
"MS","P05362","ICAM1","Intercellular adhesion molecule 1","ICAM1","OID20411","Cardiometabolic",2.84454559979388,TRUE
"MS","P05386","RPLP1","60S acidic ribosomal protein P1",NA,NA,NA,17.5972134067895,TRUE
"MS","P05387","RPLP2","60S acidic ribosomal protein P2",NA,NA,NA,18.7583273226317,TRUE
"MS","P05388","RPLP0","60S acidic ribosomal protein P0",NA,NA,NA,6.01137216050516,TRUE
"MS","P05408","SCG5","Neuroendocrine protein 7B2",NA,NA,NA,9.89344589779898,TRUE
"MS","P05413","FABP3","Fatty acid-binding protein, heart","FABP3","OID30351","Cardiometabolic II",2.97609965772246,TRUE
"MS","P05451","REG1A","Lithostathine-1-alpha","REG1A","OID20415","Cardiometabolic",6.2504136284382,TRUE
"MS","P05452","CLEC3B","Tetranectin","CLEC3B","OID30756","Inflammation II",2.0092682877838,TRUE
"MS","P05543","SERPINA7","Thyroxine-binding globulin","SERPINA7","OID30724","Inflammation II",2.41474846307164,TRUE
"MS","P05546","SERPIND1","Heparin cofactor 2","SERPIND1","OID30767","Inflammation II",3.44261287433935,TRUE
"MS","P05556","ITGB1","Integrin beta-1","ITGB1","OID20376","Cardiometabolic",0.901717147446247,TRUE
"MS","P05783","KRT18","Keratin, type I cytoskeletal 18","KRT18","OID21296","Oncology",NA,FALSE
"MS","P05787","KRT8","Keratin, type II cytoskeletal 8","KRT8","OID30865","Neurology II",11.4030408395807,TRUE
"MS","P05976","MYL1","Myosin light chain 1/3, skeletal muscle isoform","MYL1","OID30120","Cardiometabolic II",4.30253253529881,TRUE
"MS","P05981","HPN","Serine protease hepsin",NA,NA,NA,13.6580622398552,TRUE
"MS","P05997","COL5A2","Collagen alpha-2(V) chain",NA,NA,NA,27.2084626559871,TRUE
"MS","P06126","CD1A","T-cell surface glycoprotein CD1a",NA,NA,NA,NA,FALSE
"MS","P06132","UROD","Uroporphyrinogen decarboxylase","UROD","OID30603","Inflammation II",4.17553456322007,TRUE
"MS","P06133","UGT2B4","UDP-glucuronosyltransferase 2B4",NA,NA,NA,NA,FALSE
"MS","P06213","INSR","Insulin receptor","INSR","OID30566","Inflammation II",10.7249836552523,TRUE
"MS","P06276","BCHE","Cholinesterase","BCHE","OID30717","Inflammation II",1.88229696331597,TRUE
"MS","P06280","GLA","Alpha-galactosidase A","GLA","OID30594","Inflammation II",10.31345873405,TRUE
"MS","P06310","IGKV2-30","Immunoglobulin kappa variable 2-30",NA,NA,NA,9.55325697966413,TRUE
"MS","P06312","IGKV4-1","Immunoglobulin kappa variable 4-1",NA,NA,NA,7.33798781403892,TRUE
"MS","P06315","IGKV5-2","Immunoglobulin kappa variable 5-2",NA,NA,NA,NA,FALSE
"MS","P06331","IGHV4-34","Immunoglobulin heavy variable 4-34",NA,NA,NA,2.91691540434964,TRUE
"MS","P06396","GSN","Gelsolin","GSN","OID30714","Inflammation II",2.74720750302056,TRUE
"MS","P06396-2","GSN","Isoform 2 of Gelsolin",NA,NA,NA,6.67776065953477,TRUE
"MS","P06454","PTMA","Prothymosin alpha",NA,NA,NA,8.20146382252858,TRUE
"MS","P06576","ATP5F1B","ATP synthase subunit beta, mitochondrial",NA,NA,NA,NA,FALSE
"MS","P06681","C2","Complement C2","C2","OID20410","Cardiometabolic",4.57183405982109,TRUE
"MS","P06702","S100A9","Protein S100-A9",NA,NA,NA,5.35304180609173,TRUE
"MS","P06703","S100A6","Protein S100-A6",NA,NA,NA,6.5606263207434,TRUE
"MS","P06727","APOA4","Apolipoprotein A-IV","APOA4","OID30733","Inflammation II",3.34830631133872,TRUE
"MS","P06730","EIF4E","Eukaryotic translation initiation factor 4E","EIF4E","OID30557","Inflammation II",10.7690278476927,TRUE
"MS","P06731","CEACAM5","Carcinoembryonic antigen-related cell adhesion molecule 5","CEACAM5","OID21171","Oncology",NA,FALSE
"MS","P06732","CKM","Creatine kinase M-type",NA,NA,NA,3.88034499174067,TRUE
"MS","P06733","ENO1","Alpha-enolase","ENO1","OID21037","Neurology",3.65033186636667,TRUE
"MS","P06737","PYGL","Glycogen phosphorylase, liver form",NA,NA,NA,4.50348130932207,TRUE
"MS","P06744","GPI","Glucose-6-phosphate isomerase","GPI","OID30680","Inflammation II",2.75461639424165,TRUE
"MS","P06748","NPM1","Nucleophosmin","NPM1","OID20961","Neurology",NA,FALSE
"MS","P06753-2","TPM3","Isoform 2 of Tropomyosin alpha-3 chain",NA,NA,NA,13.934720562761,TRUE
"MS","P06753-6","TPM3","Isoform 6 of Tropomyosin alpha-3 chain",NA,NA,NA,NA,FALSE
"MS","P06756","ITGAV","Integrin alpha-V","ITGAV","OID21416","Oncology",7.9068971840227,TRUE
"MS","P06858","LPL","Lipoprotein lipase","LPL","OID20188","Cardiometabolic",1.52929930125673,TRUE
"MS","P06865","HEXA","Beta-hexosaminidase subunit alpha",NA,NA,NA,3.20791234538089,TRUE
"MS","P06870","KLK1","Kallikrein-1","KLK1","OID21499","Oncology",5.5148094827855,TRUE
"MS","P07093","SERPINE2","Glia-derived nexin","SERPINE2","OID30359","Cardiometabolic II",5.15995929406656,TRUE
"MS","P07108","DBI","Acyl-CoA-binding protein","DBI","OID21143","Neurology",6.78916592165093,TRUE
"MS","P07148","FABP1","Fatty acid-binding protein, liver","FABP1","OID20778","Inflammation",7.44823230000799,TRUE
"MS","P07195","LDHB","L-lactate dehydrogenase B chain",NA,NA,NA,6.24994367135632,TRUE
"MS","P07203","GPX1","Glutathione peroxidase 1",NA,NA,NA,6.87098648787124,TRUE
"MS","P07204","THBD","Thrombomodulin","THBD","OID20231","Cardiometabolic",31.339421216092,TRUE
"MS","P07205","PGK2","Phosphoglycerate kinase 2",NA,NA,NA,NA,FALSE
"MS","P07225","PROS1","Vitamin K-dependent protein S","PROS1","OID30737","Inflammation II",3.636002786735,TRUE
"MS","P07237","P4HB","Protein disulfide-isomerase","P4HB","OID21509","Oncology",4.97044565679869,TRUE
"MS","P07307","ASGR2","Asialoglycoprotein receptor 2","ASGR2","OID30679","Inflammation II",2.16109575892063,TRUE
"MS","P07333","CSF1R","Macrophage colony-stimulating factor 1 receptor","CSF1R","OID30681","Inflammation II",1.87816809470653,TRUE
"MS","P07339","CTSD","Cathepsin D","CTSD","OID20358","Cardiometabolic",2.31488286566992,TRUE
"MS","P07355","ANXA2","Annexin A2","ANXA2","OID30263","Cardiometabolic II",11.6440497398367,TRUE
"MS","P07357","C8A","Complement component C8 alpha chain",NA,NA,NA,1.97257064483713,TRUE
"MS","P07358","C8B","Complement component C8 beta chain","C8B","OID30719","Inflammation II",1.52984476004688,TRUE
"MS","P07359","GP1BA","Platelet glycoprotein Ib alpha chain","GP1BA","OID20381","Cardiometabolic",2.82082130224869,TRUE
"MS","P07360","C8G","Complement component C8 gamma chain",NA,NA,NA,1.6763569077465,TRUE
"MS","P07384","CAPN1","Calpain-1 catalytic subunit",NA,NA,NA,1.83544829557549,TRUE
"MS","P07437","TUBB","Tubulin beta chain",NA,NA,NA,11.1491206698018,TRUE
"MS","P07451","CA3","Carbonic anhydrase 3","CA3","OID20271","Cardiometabolic",12.5766256338907,TRUE
"MS","P07476","IVL","Involucrin",NA,NA,NA,17.905578606286,TRUE
"MS","P07477","PRSS1","Serine protease 1",NA,NA,NA,5.25486612674358,TRUE
"MS","P07478","PRSS2","Trypsin-2","PRSS2","OID20364","Cardiometabolic",4.82864920055738,TRUE
"MS","P07585","DCN","Decorin","DCN","OID20106","Cardiometabolic",36.1691134414434,TRUE
"MS","P07602","PSAP","Prosaposin","PSAP","OID30419","Cardiometabolic II",8.64600203570405,TRUE
"MS","P07602-3","PSAP","Isoform Sap-mu-9 of Prosaposin",NA,NA,NA,24.4705734678239,TRUE
"MS","P07686","HEXB","Beta-hexosaminidase subunit beta",NA,NA,NA,3.60354951200696,TRUE
"MS","P07711","CTSL","Procathepsin L","CTSL","OID20228","Cardiometabolic",5.00708451004883,TRUE
"MS","P07737","PFN1","Profilin-1",NA,NA,NA,5.27457570836043,TRUE
"MS","P07738","BPGM","Bisphosphoglycerate mutase",NA,NA,NA,6.42888690849168,TRUE
"MS","P07741","APRT","Adenine phosphoribosyltransferase","APRT","OID20927","Neurology",17.754444864771,TRUE
"MS","P07858","CTSB","Cathepsin B","CTSB","OID20276","Cardiometabolic",3.14312184079062,TRUE
"MS","P07900","HSP90AA1","Heat shock protein HSP 90-alpha",NA,NA,NA,4.68385191229385,TRUE
"MS","P07902","GALT","Galactose-1-phosphate uridylyltransferase",NA,NA,NA,NA,FALSE
"MS","P07911","UMOD","Uromodulin","UMOD","OID20237","Cardiometabolic",1.92121939823732,TRUE
"MS","P07942","LAMB1","Laminin subunit beta-1","LAMB1","OID30280","Cardiometabolic II",2.59175756217703,TRUE
"MS","P07949","RET","Proto-oncogene tyrosine-protein kinase receptor Ret","RET","OID21346","Oncology",NA,FALSE
"MS","P07951-2","TPM2","Isoform 2 of Tropomyosin beta chain",NA,NA,NA,6.87282330225623,TRUE
"MS","P07954","FH","Fumarate hydratase, mitochondrial","FH","OID30839","Neurology II",NA,FALSE
"MS","P07988","SFTPB","Pulmonary surfactant-associated protein B",NA,NA,NA,5.31030332495798,TRUE
"MS","P07996","THBS1","Thrombospondin-1",NA,NA,NA,7.62544806830602,TRUE
"MS","P07998","RNASE1","Ribonuclease pancreatic","RNASE1","OID30672","Inflammation II",7.48936997631643,TRUE
"MS","P08123","COL1A2","Collagen alpha-2(I) chain",NA,NA,NA,7.20537582522372,TRUE
"MS","P08133","ANXA6","Annexin A6",NA,NA,NA,14.8850291736358,TRUE
"MS","P08138","NGFR","Tumor necrosis factor receptor superfamily member 16","NGFR","OID30300","Cardiometabolic II",5.64264673857076,TRUE
"MS","P08174","CD55","Complement decay-accelerating factor","CD55","OID20377","Cardiometabolic",3.40337471221372,TRUE
"MS","P08185","SERPINA6","Corticosteroid-binding globulin","SERPINA6","OID30743","Inflammation II",2.28960915176021,TRUE
"MS","P08195","SLC3A2","4F2 cell-surface antigen heavy chain",NA,NA,NA,4.35816702896944,TRUE
"MS","P08217","CELA2A","Chymotrypsin-like elastase family member 2A","CELA2A","OID30411","Cardiometabolic II",15.4405916682926,TRUE
"MS","P08236","GUSB","Beta-glucuronidase","GUSB","OID20296","Cardiometabolic",1.96633258574416,TRUE
"MS","P08238","HSP90AB1","Heat shock protein HSP 90-beta",NA,NA,NA,6.82042670623434,TRUE
"MS","P08253","MMP2","72 kDa type IV collagenase",NA,NA,NA,1.74645733680704,TRUE
"MS","P08254","MMP3","Stromelysin-1","MMP3","OID21083","Neurology",4.58901556992509,TRUE
"MS","P08294","SOD3","Extracellular superoxide dismutase [Cu-Zn]","SOD3","OID30683","Inflammation II",8.42234208946467,TRUE
"MS","P08311","CTSG","Cathepsin G",NA,NA,NA,8.8185274592255,TRUE
"MS","P08319","ADH4","All-trans-retinol dehydrogenase [NAD(+)] ADH4","ADH4","OID20117","Cardiometabolic",10.748795105311,TRUE
"MS","P08397","HMBS","Porphobilinogen deaminase","HMBS","OID21385","Oncology",14.8449414413888,TRUE
"MS","P08473","MME","Neprilysin","MME","OID21307","Oncology",11.6241011978529,TRUE
"MS","P08493","MGP","Matrix Gla protein",NA,NA,NA,9.28196338359989,TRUE
"MS","P08514","ITGA2B","Integrin alpha-IIb",NA,NA,NA,4.82719859840269,TRUE
"MS","P08519","LPA","Apolipoprotein(a)","LPA","OID30747","Inflammation II",2.53688194648213,TRUE
"MS","P08567","PLEK","Pleckstrin",NA,NA,NA,5.90637058591576,TRUE
"MS","P08571","CD14","Monocyte differentiation antigen CD14","CD14","OID20378","Cardiometabolic",2.05324429109746,TRUE
"MS","P08572","COL4A2","Collagen alpha-2(IV) chain",NA,NA,NA,9.75827477684829,TRUE
"MS","P08575","PTPRC","Receptor-type tyrosine-protein phosphatase C","PTPRC","OID30380","Cardiometabolic II",2.59836949502832,TRUE
"MS","P08581","MET","Hepatocyte growth factor receptor","MET","OID20269","Cardiometabolic",1.9532090585879,TRUE
"MS","P08582","MELTF","Melanotransferrin","MELTF","OID30347","Cardiometabolic II",22.2068304617368,TRUE
"MS","P08590","MYL3","Myosin light chain 3","MYL3","OID30251","Cardiometabolic II",NA,FALSE
"MS","P08603","CFH","Complement factor H","CFH","OID30790","Inflammation II",1.29761003989438,TRUE
"MS","P08637","FCGR3A","Low affinity immunoglobulin gamma Fc region receptor III-A",NA,NA,NA,35.1938765505755,TRUE
"MS","P08648","ITGA5","Integrin alpha-5","ITGA5","OID21139","Neurology",6.900410169901,TRUE
"MS","P08670","VIM","Vimentin","VIM","OID20053","Cardiometabolic",10.8127067390018,TRUE
"MS","P08697","SERPINF2","Alpha-2-antiplasmin","SERPINF2","OID30779","Inflammation II",2.7309268160676,TRUE
"MS","P08709","F7","Coagulation factor VII","F7","OID20372","Cardiometabolic",3.6714404849577,TRUE
"MS","P08727","KRT19","Keratin, type I cytoskeletal 19","KRT19","OID20596","Inflammation",58.7631132513953,TRUE
"MS","P08729","KRT7","Keratin, type II cytoskeletal 7",NA,NA,NA,NA,FALSE
"MS","P08758","ANXA5","Annexin A5","ANXA5","OID20810","Neurology",2.79156742420802,TRUE
"MS","P08779","KRT16","Keratin, type I cytoskeletal 16",NA,NA,NA,36.4469467469805,TRUE
"MS","P08833","IGFBP1","Insulin-like growth factor-binding protein 1","IGFBP1","OID20246","Cardiometabolic",10.0167561747429,TRUE
"MS","P08861","CELA3B","Chymotrypsin-like elastase family member 3B",NA,NA,NA,14.6017991367397,TRUE
"MS","P08865","RPSA","40S ribosomal protein SA",NA,NA,NA,14.810321216857,TRUE
"MS","P08887","IL6R","Interleukin-6 receptor subunit alpha","IL6R","OID20385","Cardiometabolic",5.25431070063962,TRUE
"MS","P09093","CELA3A","Chymotrypsin-like elastase family member 3A","CELA3A","OID20298","Cardiometabolic",19.7357332386698,TRUE
"MS","P09104","ENO2","Gamma-enolase","ENO2","OID21046","Neurology",6.52156607761831,TRUE
"MS","P09110","ACAA1","3-ketoacyl-CoA thiolase, peroxisomal","ACAA1","OID21269","Oncology",NA,FALSE
"MS","P09172","DBH","Dopamine beta-hydroxylase","DBH","OID30703","Inflammation II",5.92316360245415,TRUE
"MS","P09211","GSTP1","Glutathione S-transferase P","GSTP1","OID20876","Neurology",3.96499342460275,TRUE
"MS","P09237","MMP7","Matrilysin","MMP7","OID20087","Cardiometabolic",NA,FALSE
"MS","P09326","CD48","CD48 antigen","CD48","OID20692","Inflammation",7.45286975014788,TRUE
"MS","P09327","VIL1","Villin-1",NA,NA,NA,NA,FALSE
"MS","P09341","CXCL1","Growth-regulated alpha protein","CXCL1","OID20762","Inflammation",3.04797461427152,TRUE
"MS","P09382","LGALS1","Galectin-1","LGALS1","OID20154","Cardiometabolic",2.28821673916337,TRUE
"MS","P09417","QDPR","Dihydropteridine reductase","QDPR","OID20174","Cardiometabolic",8.50217597861896,TRUE
"MS","P09466","PAEP","Glycodelin","PAEP","OID20925","Neurology",37.2356016511131,TRUE
"MS","P09467","FBP1","Fructose-1,6-bisphosphatase 1","FBP1","OID20227","Cardiometabolic",5.14978566053961,TRUE
"MS","P09486","SPARC","SPARC","SPARC","OID21511","Oncology",2.69958875658382,TRUE
"MS","P09493-2","TPM1","Isoform 2 of Tropomyosin alpha-1 chain",NA,NA,NA,10.7851810157814,TRUE
"MS","P09493-3","TPM1","Isoform 3 of Tropomyosin alpha-1 chain",NA,NA,NA,NA,FALSE
"MS","P09493-8","TPM1","Isoform 8 of Tropomyosin alpha-1 chain",NA,NA,NA,13.0237513529316,TRUE
"MS","P09496-2","CLTA","Isoform Non-brain of Clathrin light chain A",NA,NA,NA,3.8937808919053,TRUE
"MS","P09497","CLTB","Clathrin light chain B",NA,NA,NA,6.44998957448287,TRUE
"MS","P09525","ANXA4","Annexin A4","ANXA4","OID20123","Cardiometabolic",15.4806139558271,TRUE
"MS","P09529","INHBB","Inhibin beta B chain","INHBB","OID30625","Inflammation II",6.12042496096059,TRUE
"MS","P09601","HMOX1","Heme oxygenase 1","HMOX1","OID20217","Cardiometabolic",NA,FALSE
"MS","P09603","CSF1","Macrophage colony-stimulating factor 1","CSF1","OID20719","Inflammation",4.17612844073269,TRUE
"MS","P09619","PDGFRB","Platelet-derived growth factor receptor beta","PDGFRB","OID20268","Cardiometabolic",3.17755989638622,TRUE
"MS","P09622","DLD","Dihydrolipoyl dehydrogenase, mitochondrial",NA,NA,NA,4.15790349996178,TRUE
"MS","P09651","HNRNPA1","Heterogeneous nuclear ribonucleoprotein A1",NA,NA,NA,NA,FALSE
"MS","P09668","CTSH","Pro-cathepsin H","CTSH","OID20113","Cardiometabolic",15.8425872704725,TRUE
"MS","P09681","GIP","Gastric inhibitory polypeptide","GIP","OID30288","Cardiometabolic II",NA,FALSE
"MS","P09871","C1S","Complement C1s subcomponent","C1S","OID30731","Inflammation II",1.03847964461699,TRUE
"MS","P09958","FURIN","Furin","FURIN","OID21514","Oncology",NA,FALSE
"MS","P09960","LTA4H","Leukotriene A-4 hydrolase","LTA4H","OID21452","Oncology",3.69052030780735,TRUE
"MS","P09972","ALDOC","Fructose-bisphosphate aldolase C",NA,NA,NA,5.4999117765343,TRUE
"MS","P0C0L4","C4A","Complement C4-A",NA,NA,NA,3.70544261784833,TRUE
"MS","P0C0L5","C4B_2","Complement C4-B",NA,NA,NA,2.62990758011448,TRUE
"MS","P0C0S5","H2AZ1","Histone H2A.Z",NA,NA,NA,NA,FALSE
"MS","P0CG38","POTEI","POTE ankyrin domain family member I",NA,NA,NA,NA,FALSE
"MS","P0CG39","POTEJ","POTE ankyrin domain family member J",NA,NA,NA,NA,FALSE
"MS","P0DJD7","PGA4","Pepsin A-4","PGA4","OID30699","Inflammation II",19.8635893654003,TRUE
"MS","P0DJI8","SAA1","Serum amyloid A-1 protein",NA,NA,NA,18.8287106668318,TRUE
"MS","P0DJI9","SAA2","Serum amyloid A-2 protein",NA,NA,NA,32.2824360840937,TRUE
"MS","P0DMM9","SULT1A3","Sulfotransferase 1A3",NA,NA,NA,29.6895874264044,TRUE
"MS","P0DMQ5","INAFM2","Putative transmembrane protein INAFM2",NA,NA,NA,11.7595338197901,TRUE
"MS","P0DMV8","HSPA1A","Heat shock 70 kDa protein 1A","HSPA1A","OID20718","Inflammation",5.89611044195253,TRUE
"MS","P0DOY2","IGLC2","Immunoglobulin lambda constant 2","IGLC2","OID30740","Inflammation II",11.7947022299993,TRUE
"MS","P0DP01","IGHV1-8","Immunoglobulin heavy variable 1-8",NA,NA,NA,NA,FALSE
"MS","P0DP08","IGHV4-38-2","Immunoglobulin heavy variable 4-38-2",NA,NA,NA,0.870643066743908,TRUE
"MS","P0DP23","CALM1","Calmodulin-1",NA,NA,NA,5.19684941988982,TRUE
"MS","P0DP57","SLURP2","Secreted Ly-6/uPAR domain-containing protein 2",NA,NA,NA,5.11734543701323,TRUE
"MS","P0DTE7","AMY1B","Alpha-amylase 1B",NA,NA,NA,15.2792504704611,TRUE
"MS","P10124","SRGN","Serglycin",NA,NA,NA,10.8975539099871,TRUE
"MS","P10153","RNASE2","Non-secretory ribonuclease",NA,NA,NA,4.98778609965482,TRUE
"MS","P10163","PRB4","Basic salivary proline-rich protein 4",NA,NA,NA,NA,FALSE
"MS","P10253","GAA","Lysosomal alpha-glucosidase",NA,NA,NA,8.96991669351802,TRUE
"MS","P10321","HLA-C","HLA class I histocompatibility antigen, C alpha chain",NA,NA,NA,21.5131983789045,TRUE
"MS","P10451","SPP1","Osteopontin","SPP1","OID20322","Cardiometabolic",11.3968258863417,TRUE
"MS","P10586","PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF","OID20310","Cardiometabolic",2.20919808034361,TRUE
"MS","P10599","TXN","Thioredoxin","TXN","OID30670","Inflammation II",4.73985747095571,TRUE
"MS","P10619","CTSA","Lysosomal protective protein",NA,NA,NA,2.33491552132554,TRUE
"MS","P10643","C7","Complement component C7","C7","OID30766","Inflammation II",3.17913423056691,TRUE
"MS","P10644","PRKAR1A","cAMP-dependent protein kinase type I-alpha regulatory subunit","PRKAR1A","OID20146","Cardiometabolic",10.5886321539818,TRUE
"MS","P10645","CHGA","Chromogranin-A","CHGA","OID30403","Cardiometabolic II",3.14713735506426,TRUE
"MS","P10646","TFPI","Tissue factor pathway inhibitor","TFPI","OID20388","Cardiometabolic",13.0852941239344,TRUE
"MS","P10646-2","TFPI","Isoform Beta of Tissue factor pathway inhibitor",NA,NA,NA,NA,FALSE
"MS","P10720","PF4V1","Platelet factor 4 variant",NA,NA,NA,15.8049832576282,TRUE
"MS","P10721","KIT","Mast/stem cell growth factor receptor Kit","KIT","OID20370","Cardiometabolic",7.02971430364049,TRUE
"MS","P10746","UROS","Uroporphyrinogen-III synthase","UROS","OID30964","Neurology II",3.77068189345085,TRUE
"MS","P10768","ESD","S-formylglutathione hydrolase",NA,NA,NA,3.67570797647257,TRUE
"MS","P10809","HSPD1","60 kDa heat shock protein, mitochondrial",NA,NA,NA,NA,FALSE
"MS","P10909","CLU","Clusterin","CLU","OID30732","Inflammation II",1.71184879419447,TRUE
"MS","P10912","GHR","Growth hormone receptor","GHR","OID30574","Inflammation II",6.59638042510862,TRUE
"MS","P11021","HSPA5","Endoplasmic reticulum chaperone BiP",NA,NA,NA,2.74634191231823,TRUE
"MS","P11047","LAMC1","Laminin subunit gamma-1",NA,NA,NA,3.82141111502994,TRUE
"MS","P11055","MYH3","Myosin-3",NA,NA,NA,21.2347986559951,TRUE
"MS","P11142","HSPA8","Heat shock cognate 71 kDa protein",NA,NA,NA,2.89080362694139,TRUE
"MS","P11150","LIPC","Hepatic triacylglycerol lipase",NA,NA,NA,3.3751576149104,TRUE
"MS","P11171","EPB41","Protein 4.1",NA,NA,NA,40.6518921500906,TRUE
"MS","P11215","ITGAM","Integrin alpha-M","ITGAM","OID21071","Neurology",3.16460511894554,TRUE
"MS","P11216","PYGB","Glycogen phosphorylase, brain form",NA,NA,NA,12.5835898450975,TRUE
"MS","P11226","MBL2","Mannose-binding protein C","MBL2","OID30759","Inflammation II",4.26226911723677,TRUE
"MS","P11233","RALA","Ras-related protein Ral-A",NA,NA,NA,NA,FALSE
"MS","P11277","SPTB","Spectrin beta chain, erythrocytic",NA,NA,NA,14.1296900080187,TRUE
"MS","P11279","LAMP1","Lysosome-associated membrane glycoprotein 1","LAMP1","OID30416","Cardiometabolic II",3.88707638780791,TRUE
"MS","P11362","FGFR1","Fibroblast growth factor receptor 1",NA,NA,NA,NA,FALSE
"MS","P11362-7","FGFR1","Isoform 14 of Fibroblast growth factor receptor 1",NA,NA,NA,6.19885585568112,TRUE
"MS","P11413","G6PD","Glucose-6-phosphate 1-dehydrogenase",NA,NA,NA,6.22968283601403,TRUE
"MS","P11586","MTHFD1","C-1-tetrahydrofolate synthase, cytoplasmic",NA,NA,NA,8.45819168199122,TRUE
"MS","P11597","CETP","Cholesteryl ester transfer protein",NA,NA,NA,2.03896547267981,TRUE
"MS","P11684","SCGB1A1","Uteroglobin","SCGB1A1","OID20688","Inflammation",9.05455098092582,TRUE
"MS","P11717","IGF2R","Cation-independent mannose-6-phosphate receptor","IGF2R","OID21146","Neurology",2.26653606460355,TRUE
"MS","P11766","ADH5","Alcohol dehydrogenase class-3",NA,NA,NA,8.47605952914841,TRUE
"MS","P11940","PABPC1","Polyadenylate-binding protein 1",NA,NA,NA,8.97304239878423,TRUE
"MS","P12081","HARS1","Histidine--tRNA ligase, cytoplasmic","HARS1","OID21086","Neurology",6.8284652272926,TRUE
"MS","P12104","FABP2","Fatty acid-binding protein, intestinal","FABP2","OID20200","Cardiometabolic",NA,FALSE
"MS","P12107","COL11A1","Collagen alpha-1(XI) chain",NA,NA,NA,NA,FALSE
"MS","P12109","COL6A1","Collagen alpha-1(VI) chain",NA,NA,NA,3.35621599099637,TRUE
"MS","P12110","COL6A2","Collagen alpha-2(VI) chain",NA,NA,NA,5.84109938270858,TRUE
"MS","P12110-2","COL6A2","Isoform 2C2A of Collagen alpha-2(VI) chain",NA,NA,NA,9.17839435505862,TRUE
"MS","P12111","COL6A3","Collagen alpha-3(VI) chain","COL6A3","OID20292","Cardiometabolic",4.68432031892338,TRUE
"MS","P12111-4","COL6A3","Isoform 4 of Collagen alpha-3(VI) chain",NA,NA,NA,7.99061964775328,TRUE
"MS","P12236","SLC25A6","ADP/ATP translocase 3",NA,NA,NA,NA,FALSE
"MS","P12259","F5","Coagulation factor V",NA,NA,NA,1.87988929755574,TRUE
"MS","P12273","PIP","Prolactin-inducible protein",NA,NA,NA,11.9578898978924,TRUE
"MS","P12318","FCGR2A","Low affinity immunoglobulin gamma Fc region receptor II-a","FCGR2A","OID20391","Cardiometabolic",5.86805060073328,TRUE
"MS","P12429","ANXA3","Annexin A3","ANXA3","OID21036","Neurology",7.12613175909643,TRUE
"MS","P12644","BMP4","Bone morphogenetic protein 4","BMP4","OID20994","Neurology",NA,FALSE
"MS","P12814","ACTN1","Alpha-actinin-1",NA,NA,NA,NA,FALSE
"MS","P12814-3","ACTN1","Isoform 3 of Alpha-actinin-1",NA,NA,NA,0.837897591949863,TRUE
"MS","P12821","ACE","Angiotensin-converting enzyme","ACE","OID30696","Inflammation II",1.24005008079311,TRUE
"MS","P12830","CDH1","Cadherin-1","CDH1","OID20353","Cardiometabolic",2.81401298064421,TRUE
"MS","P12882","MYH1","Myosin-1",NA,NA,NA,NA,FALSE
"MS","P12883","MYH7","Myosin-7",NA,NA,NA,11.3266826564973,TRUE
"MS","P12931","SRC","Proto-oncogene tyrosine-protein kinase Src","SRC","OID21521","Oncology",4.42889108783689,TRUE
"MS","P12955","PEPD","Xaa-Pro dipeptidase","PEPD","OID30688","Inflammation II",2.16155349956061,TRUE
"MS","P12956","XRCC6","X-ray repair cross-complementing protein 6",NA,NA,NA,NA,FALSE
"MS","P13010","XRCC5","X-ray repair cross-complementing protein 5",NA,NA,NA,NA,FALSE
"MS","P13224","GP1BB","Platelet glycoprotein Ib beta chain","GP1BB","OID30174","Cardiometabolic II",8.00938488574652,TRUE
"MS","P13284","IFI30","Gamma-interferon-inducible lysosomal thiol reductase","IFI30","OID31505","Oncology II",3.04066387541987,TRUE
"MS","P13473","LAMP2","Lysosome-associated membrane glycoprotein 2","LAMP2","OID21035","Neurology",2.10420648764117,TRUE
"MS","P13489","RNH1","Ribonuclease inhibitor",NA,NA,NA,4.45543228602094,TRUE
"MS","P13497","BMP1","Bone morphogenetic protein 1",NA,NA,NA,3.92785723367296,TRUE
"MS","P13501","CCL5","C-C motif chemokine 5","CCL5","OID20412","Cardiometabolic",8.5729970386775,TRUE
